,SMILES
0,O=C(O)c1ccccc1
1,C=CC(C=C)c1ccccc1
2,COC1CC2=C3CCCC3=C=C(F)CCC2C1C1CCC(C)N1
3,C1=CCc2ncccc2C1
4,c1ccc(Cc2ccccc2)cc1
5,C1=C2C=CCC=C2C2=C=C(N=C(C3CCCC3)NC2)C2=CNC=CC=12
6,C1=CNC=CC1
7,N=C1CC(Cc2ccccc2)C(NC2=NC=CCC2)=CN1
8,c1ccc(-c2ccccc2)cc1
9,C1=CC2OCOC3C=C(c4ccccc4)CC(=C23)C1
10,C=CCC(O)COC=C
11,C1=CCC=CC2=CC=CCC=12
12,C=CCCCCCCC
13,N=Cn1c(C2C3=CC=CCC3=C3CC4=CCC=CC4=C32)nc2c1CSC2
14,CC(O)C(O)C1CCCO1
15,OC1C=CC=CC1C1C=CCC=C1
16,C1=CC(Cc2ccccc2)C=C1
17,C1CCC(=NC2CCCC2)C1
18,CC1COCCO1
19,Oc1ccc(Oc2ccccc2O)cc1
20,C=CCC1=C=CCCC=C1
21,CCOCCO
22,CC(=O)CC1CCCC1
23,NC=C1C=CCC=C1
24,CCC1CCCOC1=O
25,N=C1C(=C=C2CCCC2)C=Cc2ncc(-c3ccccc3)cc21
26,COCCC=O
27,CCC(=O)CC1CCCC1
28,NC1=C(C2C=CCC(O)=C2)CCC1
29,Oc1ccccc1
30,Oc1ccccc1Oc1ccccc1
31,CC=CCC(C)O
32,C1=CC=CC=CC=1C1=CCC=C1
33,C#CCCC#CC=C=C1CC=CC1
34,CC1CC(=O)C(C=O)C1
35,c1ccc(-c2ccccc2)cc1
36,OC1=Cc2ccccc2CC=C1
37,CN1NC2=C(CCC2)C2=C1CCC2
38,NC(=O)CC1CCCC1
39,C1COC2=C(C1)CC1=C(CCC1)N2
40,C(=C1CCCC1)=C1N=C2N=C3C(=NC2C1C1=CCCC1)CC=CC3=C1CCCC1
41,O=C1COC2CCCC12
42,C#CCCc1ccccc1
43,OC1CCC2=C1CCC2
44,c1cc2c(nn1)NCN2
45,OCCCCO
46,OC=C1CCCCC1
47,OC1=CC=CC=C2c3ccccc3C=NC12
48,Cc1ccc2c(c1)C1CC3=CCC=CC3=CC=CCC1(O)C1=CCC=CC12
49,CCCCC1CCCCC1
50,CC(O)C(C)O
51,C=CCc1cccc2c1cc(N=C1CCCC1)c1ccccc12
52,C1=CCC(C2C=CC=C2)=C1
53,C(#CC1=CCC=C1)Cc1cccs1
54,O=CCC1OC=CCC1O
55,O=C(CO)OCCO
56,C=CCC(=O)n1c2c(n(C3CCC4C(=C(F)F)c5cccc6ccc(c4c56)C3=O)c1=O)CC=CC2
57,c1ccc(Cc2ccccc2)cc1
58,C1=CC2(C=CCCC2)CCC1
59,N=Cc1ccccc1
60,COCC1CCCC1
61,C1=CC=C2CC(=CC3NCNNC3C3=CCC=CC3)C(=C3CCNC3)C2C=C1
62,C1CCC(C2CCCC2)C1
63,C1=CCC=CC(CC2OC3=CCC4=c5c3c3c(c6c5C(CC6)C(=CC5CCCC5)C4)=CCC=C32)=C1
64,O=CCC1CCCC1
65,C=NCC1=CCC=CC1
66,C1=CC2=C(NC3=NCCC3)Cc3ccccc3C2C=CC1
67,O=C1CCCC1
68,C1=CCC(c2ccccc2)=C1
69,C=C(CCCO)C1C=CCC=C1
70,c1ccc(-c2cccs2)cc1
71,CC1C=CC(c2ccccc2)=C1
72,N=C1NC(=O)C(c2ccccc2)N1
73,c1ccc2sccc2c1
74,OCC1OCCO1
75,C1=CC(C2=CCC=C2)C=C1
76,CCCC(C)O
77,C1=CC(N2CC=C(c3ccccn3)C2)C=CC1
78,OC1CCC(C2=C=CC3=C(C=CCC=C3)CC2)C1
79,O=C(O)c1ccccc1
80,C=C1CC2=C(C)NN3C4=CCC=CC4=CC(C4=CC=CCC=C4)C3=CC2C1
81,C1=CCC=C2C(=C1)NCC2CC1CNCN1
82,O=C(C1C=CC=CC1)C1C=C=C2CC=CC=C2C=C=C1O
83,C1=CCC2=CC=CC2=C1
84,CC#CCC=O
85,OCC1=C(O)CC=CC1
86,c1ccc2c(c1)-c1nccc(C3CCCC3)c1-2
87,CCOC1=CCC(Cc2nc3c([nH]2)C(C2CCCC2)C2=C(CCC2)C3)C=C1
88,C1CCC(C2CCCN2)C1
89,NC=C1C=CC=CC1
90,C=C1NC2CC=CC=C2C1C(=O)C1=C(C)C(c2ccccc2)C2=C1CC1=C2CC(=N)N1
91,O=C=C1CCCC1
92,NC1CCC2=C1CC=CC2
93,O=Cc1ccccc1
94,C=C1CC2=C(CN=CC2)C1CNC1=C2C=CC=CC2C=CCC1
95,N=C1N=C2C=CC=CC2C2=C1CC=CC2
96,N=Cc1ccccc1
97,OC1=CC=CCC1=CCC1CCCC1
98,OC1CCOC1
99,OC1=C=C(CC2CCCOC2)CCC=C1
100,CC(O)C1OCOC1C
101,ClC1=CC=CC(CC2C=NC[SH2]C2)=C=C1
102,C1=CCCC=C2C=CCCC=12
103,O=C1OC2=C(C=CCC=C2)C2C1=C1CC=Cc3cccc2c31
104,OOC1=CCCC=C1
105,CC(O)=C1CCCC1
106,O=C1CCCCOC1
107,O=C(O)C1CCCC1
108,CCC1=C2C(=CCCC2O)CC1O
109,COc1ccc2c(c1)CC=CC(OO)=C2
110,CCN1CCNN1
111,C=C1C=CC(c2ccsc2)=C1
112,OC1=COCC=C1
113,CC(=O)O
114,O=C(O)Cc1ccccc1
115,C1=CC(c2ccccc2)C=C1
116,OC1CCCC1
117,O=C(C(=C=CC1=CCC=CC1)c1ccc(O)cc1)C1N=CC2C(=C1O)C=Cc1ccccc12
118,OC1C=CCC=C1
119,Oc1ccccc1
120,OC(C1CCCC1)C1CCCC1
121,c1ccc2ccccc2c1
122,OCCO
123,Oc1cccc2c1C1=C(CC=CC1)C2
124,COC1=C=C2Cc3cnccc3N3CCN=C3C2=C=CC1C1C=CCC=C1
125,COc1ccc(Cl)cc1
126,c1ccc(C2CCCC2)cc1
127,OC1=CSC=CC1=C1C=CCC=C1
128,O=C(c1ccccn1)C(C1=CCC2=CC=CCC2=C1)c1ccccc1
129,OC1CCCC1
130,NC1=CC(=C2C=CCC=C2)C=CC1
131,CC1=CC=CC2C1=CC=Cc1cccc(C(=O)O)c12
