Unnamed: 0,SMILES,DS,Method,Valid,In_Top100,QED,Veber,Lipinski,CP,MB,SA,Ghose,1-EI,KI_Tanimoto_Similarity,KI_ChemNet_Distance
1890,C=C1C[C@@H]2[C@H](CC)C[C@@H]3CCCC(=N)[C@H]3[C@@H](C)[C@H]2[C@H]1CC(=N)NC,-8.063,DecompDiff,1,True,0.3854451106514718,2.0,5.0,0.4401225447654724,0.6986904761904762,0.51767147754858,4.0,0.9848254939052988,0.08130081300813,6.706725
1891,CCCCc1ccc(C)c2cc(F)cc(NC)c12,-7.825,DecompDiff,1,True,0.8248736277981337,2.0,5.0,0.0496135018765926,0.71465873015873,0.8568085424111547,3.0,0.7078195388420758,0.1,6.36167
1892,NC1=C(F)c2cccc(N)c2[C@H](N)[C@H]1N,-7.773,DecompDiff,1,True,0.457197547676914,2.0,5.0,0.982010781764984,0.7666190476190476,0.665023691201668,3.0,0.077145351232391,0.108695652173913,6.4980335
1893,CCC1C=CC(=N)C(=C(C)N)[C@H]1c1cccc(F)c1,-7.663,DecompDiff,1,True,0.8333927758385784,2.0,5.0,0.511811375617981,0.8679422799422802,0.6793204503221273,3.0,0.7146979656778207,0.0833333333333333,6.6119165
1894,C[C@@H]1C[C@@H]2[C@H]3C[C@@H](C)[C@](N)(CCCC(=N)N1)C3CC2(N)N,-7.634,DecompDiff,1,True,0.4305152647444177,2.0,5.0,0.2182078510522842,0.7278015873015873,0.3495807899542862,4.0,0.9326327772928302,0.0619469026548672,6.517428
1895,CN[C@H]1C=C2[C@@H]([C@@H](N)[C@H]2C(C)C)[C@H](C(C)(N)N)N1,-7.293,DecompDiff,1,True,0.3378227308044096,2.0,5.0,0.9516998529434204,0.6749740259740261,0.5101964024175991,2.0,0.2313709557144163,0.1020408163265306,6.364358
1896,CCCC[C@](N)(CN)[C@H]1C=Cc2ccc(C)cc2C1=N,-7.112,DecompDiff,1,True,0.7698938886148281,2.0,5.0,0.8343051671981812,0.7726666666666666,0.6659442368488977,4.0,0.9922171766647636,0.1111111111111111,6.4799695
1897,CC[C@@H](C)C1=C([C@H](N)CC)[C@@H](N=C(N)N)CC1,-7.022,DecompDiff,1,True,0.3849684034528477,2.0,5.0,0.7020302414894104,0.783547619047619,0.6148274751467474,3.0,0.9671811949498402,0.0888888888888888,6.5793734
1898,CCC(C)NC1=CCC2=C(C[C@@H](CC)C2)C1C(C)=N,-6.979,DecompDiff,1,True,0.556336640049457,2.0,5.0,0.003285463200882,0.6931349206349207,0.5894745500155248,3.0,0.9069702777360678,0.08,6.8825984
1899,CC[C@](N)(C(=N)[C@@H]1C=C(F)C=C2CC(N)=C21)[C@H](C)N,-6.954,DecompDiff,1,True,0.5783543422421861,2.0,5.0,0.8821119070053101,0.7864285714285713,0.5298702896604952,3.0,0.99143218638417,0.0918367346938775,6.6630282
