Unnamed: 0,SMILES,DS,Method,Valid,In_Top100,QED,Veber,Lipinski,CP,MB,SA,Ghose,1-EI,KI_Tanimoto_Similarity,KI_ChemNet_Distance
612,CC=C(C=C(N)[C@@H]1C[C@@H](N)C[C@@](C)(C2N=N2)[C@H]2C=C(C)C=C[C@@H]12)CC,-8.411,DecompDiff(D),1,True,0.740751178761717,2.0,5.0,0.8170160055160522,0.7085216450216449,0.5005696803356295,4.0,0.8087629178241994,0.0608695652173913,6.59266
613,CCCNc1cc(CN)c2c(c1N)[C@@H](C)C(C)=C2,-7.476,DecompDiff(D),1,True,0.7142582851999513,2.0,5.0,0.5697786211967468,0.7559444444444443,0.7063094221991136,3.0,0.6198986199438061,0.0806451612903225,6.5252323
614,CC[C@H]1C[C@H](CN)NC2=C(C)C3=NC=C(N)C3=C2C1=N,-7.372,DecompDiff(D),1,True,0.6066415669006338,2.0,5.0,0.8978323936462402,0.6411269841269842,0.5593901109747718,4.0,0.6951329292256193,0.075268817204301,6.5182457
615,C[C@H](N)CC(=N)c1ccccc1-c1cccc(F)c1,-7.287,DecompDiff(D),1,True,0.8067317157217913,2.0,5.0,0.5415220856666565,0.8049551004551003,0.8099895923315867,3.0,0.837864086589421,0.1181102362204724,6.548366
616,CC1=C(C)[C@](N)(c2ccccc2)C(F)=C1,-7.029,DecompDiff(D),1,True,0.7454976633371521,2.0,5.0,0.0066863712854683,0.8635,0.7350535565723357,3.0,0.2595906841777262,0.0879120879120879,6.225528
617,CC[C@@H](C)CC1CC[C@@H]2CC[C@H](CC)[C@@H]2[C@H]1C(C)=N,-7.016,DecompDiff(D),1,True,0.6295893055146411,2.0,4.0,0.0054933135397732,0.773,0.6191021283241422,3.0,0.4669151547446516,0.0760869565217391,6.874713
618,CC(C)[C@@H](C#N)c1cc(F)ccc1N,-7.006,DecompDiff(D),1,True,0.7321514818353164,2.0,5.0,0.0139070926234126,0.867031746031746,0.7684437193739594,3.0,0.008591931783501,0.0823529411764705,7.19427
619,CC(=N)[C@H]1C[C@@H](F)[C@@H](c2cc(C)co2)C1,-6.953,DecompDiff(D),1,True,0.7439034272454988,2.0,5.0,0.0090296613052487,0.865,0.6008564465452316,3.0,0.3640442627507615,0.0721649484536082,6.2332892
620,CC[C@](N)(c1ccc(C(=N)N)c2c1=C(N)C=2)[C@H](C)N,-6.948,DecompDiff(D),1,True,0.3414200687266341,2.0,5.0,0.9526566863059998,0.7451666666666665,0.6160750183694645,2.0,0.9704171755804324,0.0978260869565217,6.0411253
621,C=C(CCC(=CCN)C[C@@H](c1ccccc1)C(N)N)C(=N)N,-6.946,DecompDiff(D),1,True,0.2050808827320014,2.0,5.0,0.9577001929283142,0.7908730158730158,0.6777087729454744,4.0,0.7637599024053983,0.1030927835051546,6.637107
622,C[C@H](C=N)C(=N)[C@@H]1[C@@H](CN)[C@@H](N)[C@H]2CCCC[C@@H](N)[C@@H]3[C@@]21[C@@]31CN1,-6.934,DecompDiff(D),1,True,0.3242583691283764,1.0,4.0,0.6893455386161804,0.7237222222222222,0.388248890546539,4.0,0.9430205999203416,0.0808823529411764,7.0113645
623,N=NC1=C(N)C=CC(C(=N)N)=CC(C(=N)N)=C1,-6.901,DecompDiff(D),1,True,0.2367965283360331,1.0,4.0,0.980564296245575,0.7507698412698413,0.6118295250946392,3.0,0.2091737324488929,0.081081081081081,6.5297737
