,SMILES
0,C=CC1C(NC#N)N1CC1=CN(NCC)CCC1=C1CC1.CC=CCN=C(NO)NCCC.N#CN(O)CO
1,CC#CCS.CCNCO.COCN(C=N)CC(C)C(O)Cl.NN(O)O.OCCCO
2,C.C1NCSN1.CCC.CCC(=O)NC(C(=O)OS)C(N)OC.OCCC=CCCNO
3,C=CC#N.CC.N#C1SC1Nc1cn(NO)nn1.O=C(NC#C=C1OC1O)N1CC1CO.OC1CC1
4,C#CCC(CNC#C=N)CNC(=N)N.C=CNNN.N#CCC=CC=CO.OC1CN1O
5,CC(O)(O)=C(O)CCC=CCS.N.N.O.OC=CCCCC#CCO
6,COC1=C(Cl)CC=C(C(=O)NSC)C1.N.N.N#CC=C=CC#CC=NOO.NC(N)S
7,C=C(CC(N)N#N)N(CCC)CCN=C#CS.CC(=CC(=O)CO)C=C1C=NN=N1.CCC
8,CCC1(O)CO1.NO.OCC(O)=NOO.OCCSNC(=NCO)SC1CN1
9,CC1CS1.CCC=C1C(=CN)C=CNC1C.CCCC=CO.N#CC#CN
10,C=CC(NC#N)NC(=O)NC(N)C#N.CCCCO.O=C(O)C=CCCO
11,CSC(=NNC1CCCC1O)NC#CCl.NC=CN.O.OCCCCCN(O)CO
12,C=N.CC#CCNN=C(NC#N)C(C)O.CCC(CCCONO)NCO.CCO
13,CCCNC(CC=CO)CC1C(N)C1(C)C(O)CO.COCO.N=CN(O)C=CC=CCCNCN
14,C=C(NC(=O)N=C(C#N)CC)C(C#N)CSC.NC(N)NC=CC#CO.O.OCCC1OC1O
15,CC(O)CO.CC1CC23CN2(CCC3C[SH](C#N)COCC2=N(O)N2)C1.NCCCCCCOOP(=O)(O)O
16,C1COC1.CC.ON=C(C#CC(=NCS)SCl)NO.ONCC#CC=CCNO
17,C=CC(=CC#N)NCC(=C)O.C=N.O.OCCCC=C(Cl)CCCCNO
18,CC(=O)NC(C=CC#CC=N)CN(Cl)CCO.NCNCN.NNNC#CON=CO.O
19,CC(O)CO.CNSC1C2(CNCSC2)C12CCC(O)N2.NCCC(=O)NCCCCC=O.O=CO
20,CC=CC=CC#CC=C1SCCl1.CCCCC=CCCO.CNC#N.NC1CC1.OCCCO
21,CCNCCl.CC[SH](C=C(CCNC)COC(OC)OC)CC#CN.N#CCNC(=N)NCOC(O)CO
22,CCO.N=CN.OCCOCCC=COS.SCC(NCCl)NCNC(S)S
23,CCC(C=C(C=CC(C)Cl)C(C)C#N)NC=CCO.OCCC=CC#CC(O)CO.OCCO
24,CCC(N)NCCc1nnn(-c2nc(NC)ns2)n1.N.NCCCO.OC=C=C(O)CCCN(CO)CO
25,CO.C[SH](C)C.NC1CC(O)C(C#CC#CS)C1.OC1CC1.OCCCO
26,CC(O)c1cc(C#CN=C2=NCN=C(N)N2C#CCl)sn1.NCC(N)C#CC1OC1CNO.Nc1ccccn1
27,C#CC(C#N)N=C1NC(C=N)SC1=C(CC#N)OC.NN=CCCC#CCCCCO.OCCNO
28,N.NC=CCCC=C(O)CCC=O.NCC#CS.O.OC=CCCCO
29,CSCN=CC(CCl)OC(S)Cl.N=C(S)NS.NC(N)=O.O.OCCCO
30,C1CC1.C1CNC1.N#CN(C#CC#CCl)CC(=O)NCO.OCCCO.OCCS
31,CC#CCCOC(O)CO.CCC#CC=C(C#CCN)C=CN(Cl)OCO.N=C(N)N
32,CC(C=CCC#N)CO.CCC1CNC2=C1C(OC)CC2.OC1C2OP(O)C12.OC1CO1.OCC(O)CO
33,C.C=N.CCC(O)CC(NCCl)SCCCS.N.NC(=O)NCCCO.NNC(N)NO
34,C1CNN1.CCN(CC=N)CC=C(C=CC1CCO1)CO.OCNCCOCCOC(CO)OO
35,C=C.CC.NCC=C=CC(=O)N=C(P)CCl.O=CC=CCCC=CC=CO
36,CCSC.NC(=NOO)NC(=O)C1CCC(O)C1CO.NN(N)NC#CC(=O)OCCO.OCCO
37,CC.NC=CCNC=CCNON.NCSNC(=O)COC(O)CO.SC1CO1
38,C.NC(N)NC(CCCCCO)CONC=NO.NCCCCCCNCO.OOC1CC1
39,C1CC1.CC(C)NC(C=CCC(N)O)=CN=CN=CN.NCC(O)=N1CC1.OC1CC(O)O1
40,CC(CCO)CN#CNNCCO.COC(O)c1cc(C(O)NC=CC2CN2)ccc1O.N
41,C=C.CCCC(CSC)NC(N)N.NCCO.NCCSCO.SCS
42,CNCO.N.N.NCN.NCNNCCCCO.SNNNNCCl
43,N=C(C#C1OOC1C(O)Cl)CCCNNC(=S)S.NCCC=CCCCNN(N)NO.OC1CC1
44,C1CN1.C=CC1=C(=CCSCS)ClC(N)N(Cl)C1.CC1CC1O.CSC(O)C(O)O
45,CC=C(SC=C(N)C#N)C1CC1.N=CSS.NC(N)N.OCCOO
46,C=CN.O.OC1SSC(Cl)=C1CCCNS.OC=CC=COCO.OCO
47,C#CCCC(=O)N(C)CC(NN)=C(O)O.CC1CO1.CN(O)C(=O)NCCSCO.ONC1CO1
48,COC1C(C)SN23C1C2N3C1=CC(C#N)NC(O)N1.N#CC=N.NC=CCCCCNCNN.NCC(N)O
49,CC(=C#N)=NC1(C)CC(O)CCN1.CC=N.OCC1CN1.OCCCC(O)O.O[NH]1C2[SH]3CC213
50,C=C.CC1C(=N)N(C(=N)N)C=C=C1CNC(N)=NNCO.CCCC1=CC1CNN(O)CC.OCC(O)CO
51,NC1CC1.NC=CCC(OCO)OCC(Cl)Cl.O.OCC(Cl)C#CC#CCl
52,CC#CCCCCCCO.CCNC(=O)C#CCN=C(C)C.CCSSCN.N.OCC(O)O
53,CSCCSCCl.N#CN=C(N)N.N=CNO.NC=S.O=C(CCSCO)NC1(Cl)CC1
54,CCC=C(C=CCOC)c1nn(C#CCNCN)c(Cl)s1.CCNCCCNC=CC(O)O.NC(N)NO
55,CCCC#CC(=NCC(C)CO)C(C)=NOC#N.N=CN.OCC=CONCCO.OCCCO
56,C=C.CCN=C(N=CCC(C)O)NC(=O)NCO.CO.NCCCNC(=O)NOCCO.OC1C=C1
57,C1CN1.CNC.COc1cc(OO)cc(SCN)n1.NC=NOCC#CCO
58,CCSC1CC2C(OC)C2(NCN)C1.CO.CO.NCNCC(O)CCC(=O)C1CO1
59,CCSC=C(C#N)CC=CCSCCNCN.NCS.OCC#CC#CN=COCO
60,C=CC(C#CN)N1C=CC(CC2C=CNN2N)=CC1.CN(CO)CCNCONCCCO.O.OOC(O)O
61,CC.CC(N)(N)O.C[SH](O)SCCCNCCCC1(O)CN1CCl.O.OCC=CCO
62,C1OC12CO2.CC(N=C(CSCC#CS)C(=O)O)C1CC1.N#CNO.OCCCO
63,C=C(C)C#CCCCCCCN.CSC=N.N.N.NC1=nn=C(N(=O)NC2CO2)=C1C(=O)C(N)Cl.NCNCO
64,CC#CC1=C(O)C(O)=CNC1C#CN.CCC#CC=CCOCC(=O)O.CCO.CNC=N.OCONO
65,CON=C(=NNC(=N)N)SCNCN.O=CCS.OCCCCC#NNCOCCO
66,CSNNCC=CCCCl.NCCN.NNCSCCCl.ONC=CCC=CC1CC1O
67,C#C.C=C(C1CO1)N(CCCC=CCCNC)CC1CC1.CCC=CCON(CC)C(O)O.O[PH](O)(O)O
68,CC1C(NCCN#CCl)N1C#N.CCC=CCCCCO.CCCO.O
69,C1CC1.CC(C)C(CCCSCCS)N(C)C.N.O.OCC=CC=C(O)OO
70,C#CC#CCCOOCO.C=C.CC1CC1.CCNC1N(C#N)N=N1CSC
71,CC.CC(C)=CN1CCCNC1=NCN.NC#CC#CC#CCC=CO.O.O=CO
72,CCC.CCC=CC#CC(N)CO.NC1C(Cl)=nc(CSCCS)=CN1O.OCCF
73,CC=COC1C(CC(C)O)[SH]1C.CCCO.CCN.NC(N)NCCCSO
74,CC(C)CCN1CC(N)NC(NC(=N)NO)=N1.CCCOC.NC(N)N.O.OCC=CCOC(CO)CO
75,O.O.OCCCC=CCNCCO.OCN=C(O)NC=NC1=C(S)N[SH]=N1
76,C=CSCc1nc(O2C3NC32)n(C=N)[nH]1.CCN.NC(O)=NOCC#CO.O.O=C(NO)NO
77,C1COOC1.CC(O)(=CN)NC(NCC#N)=C(O)Cl.CC1=CC=CCC1.NC(N)NCCONOCCO
78,C#CC(=CONC1N=CCCN1)CC#N.CC.OC=CC(O)O.OCOCCC1CO1
79,CCN.CSCCNC(N)SCN.C[SH](C)C.NC(S)NO.NC=NOO
