,SMILES
0,C.C.CC
1,C.C.C.CC.CC.cccccC1CC1
2,CCCCCCO.CCc1ccc(-c2ncccn2)cc1
3,CCc1ccc(CCl)cc1.Clc1ccc(-c2cc3c(cn2)Cl3)cc1
4,CC.CC(C)CC1cn(c2cccc2)c1.F
5,CCCO.Clc1ccc2c(c1)CC1(CC1)C2.c1ccccc1
6,CCC.CCc1ccc2ccccc2n1.c1c-c2ccccc2-1
7,CCC(CC)c1cc2c(CCS)c2c1.F
8,CC.CCC
9,CCC.O.c1ccccc1
10,C.CC12ccc13CC23
11,C.C.C.CC(C)C(C)c1cC1
12,CCCCc1ccc(-c2nccs2)cc1.CCS
13,C.C.Cc1ccc(C(C)C)cc1.cc
14,CCCc1ccc(CN)cc1.O.ccC
15,C.CCc1ccc(Cc2cc(CS)cc(CCc3ccc(C)cn3)c2)cc(C)c-1.F
16,C.Cc1ccc(CCS)cc1.cclCc1ccc(CC)cn1
17,C.c1ccc(-c2cccc(C3CS3)c2)cc1.cc1c(CC)cn(C)c1ccC
18,C.C.C.Cc1cCC2c(cc1)CC2C
19,O.c1c2Clc-23ccc(-c2ccc(CCCOc4ccccc4)cn2)cc3-1
20,CCC.ccccC
21,CCc1ccccc1.CO.Oc1cccc(CCc2ccccc2)c1
22,Cc1c(-co)c2c(C3CC3)c3c12CCCC3
23,C.C.Cc1ccccc1.F.O.c1ccc(-c2cc2)c1
24,C.CC1(C)Cc12ccccc2.Cc1ccc2c(c1)C2.F
25,C.C.C.CCc1cccc1
26,C.C.cc(CC)c12ccc(-c3ccccc3)c1c2
27,C.CCCC.Cc1(C)ccccc1.Clc1ccccc1
28,CC.O.c1cc(C2CCC2)cc2(c1)CC2
29,C.CCc1cccc2(c1)CC21CC1.Cc1ccccc1
30,C.Cc1ccc(N2(C)c3c4n(ccC32)C4)cc1.Cc1cccc(Cl)c1
31,C.O.c(cc1cnc23c(n12)C3)Cc1ccccc1
32,C.C.CCc1cc(C)cc2(c1C)CC2
33,C.Cc1ccc(O)cc1.OCCCCc1ccc2(cc1)CC2
34,C.C.CC(C)C1CC1C.cc(c)C
35,C.CC.CCC.CCCCc1ccCcc1.O
36,CCc1ccccc1
37,C.C.C.CCcc-c1cc(Cl)ccn1
38,CCO.CCc1ccc(CC)n1.CCc1ccc(O)cc1
39,
40,C.CCCCCCC
41,C.C.Clc1cccc(Cl)c1.Fc1cc(Cl)cc(Cl)c1
42,C.F.Fc(Cl)c1cC1
43,CC.CC.O.c1ccc(-c2ccccc2)cc1
44,C.CCCc1cccc(CC)c1.ClC1C2Nc3cccc3C12
45,CC.ccC
46,C.CC(N)c1ccccc1.Clc1cccc(-c2ccc(-c3c(Cl)cc-3)cc2)c1
47,CCC1(C)(cc(C)Oc2ccccc2)CC1(C)C.O
48,c1c2(cc3c(c4c2C4)Cl3)S1.cc(C)cc(c)N
49,C.CC.c1ccc2c(c1)CCC1CC21.cccccCO
50,C.C
51,C.CCCc1ccc(C)c1C.O
52,C.C.C
53,CCC(C)CC
54,C.C.CCC1Cc2cccnc2C1.Clc1cc(Cl)c2c(c1)Cl2
55,C.C.C.CC.CC
56,ClCc1ccc(-c2cccc2)cc1
57,C.CCC.O.c1ccccc1
58,C.CC.CCCC
59,C.C.CC(C)=C(C)C.CCC.Oc1ccccc1
60,C.CC
61,C.C.C
62,CC.NCc1ccccc1O.c1cc(C23CC2Cl3)ncc1C1CS1
63,C.CC(C)C.Cc1cccc(C)c1.NCc1ccccc1
64,C.C.Cc1ccc(O)c1.Cc1ccc(O)cc1C
65,C.C.ccCc12c3cc(C)c(C)c1c32
66,C1CC1
67,CCC(C)c1cccc(Nc2ccc3c(c2)Cl3)c1.Cc1ccccc1Cl.O
68,C.C.C.CC.ccC
69,C1CC1.CC.CCc1ccccc1
70,C.C.Cl.cccc(c)-c1cc2c3(cc3c1)Cl2
71,C.CCc1ccc(CC)c(CC)c1.CCc1cccc(-n2cccc2)c1
72,CC1CC1
73,CCc1cc(Cl)cc(CC)c1.O
74,CCC
75,C.CC1CC1c1cccc(Cl)c1.CCc1ccc(-c2n3c4n3s24)cc1
76,C.CCS
77,CC.CC(Cl)c1ccc(COc2cccc(CO)c2)cc1
78,C.CC
79,C.CCC(C)C.COc1ccccc1.O
80,C.C.OC1CC1Cc1ccccc1
81,C.CC
82,CC.Cc1ccc(Oc2cccc(CCc3ccc4(cc3)CCl4)c2)cc1
83,C.CC.CCCc1ccc(C(N)CC)cc1
84,CC1Cc12cccnc2.CF.Cc1cccc(O)c1.F
85,CCCc1ccccc1.O.cc1cc(CC)ccc1CC
86,C.C.C.C.c1ccccc1
87,C.C.Cc1cccc(C(C)CO)c1.O
88,Cc1cccc(-c2cC(C)C2CCCl)c1.c1ccccc1
89,C.C.CC(C)c1ccc2c(c1)-cn-2C.O.ccCl
90,Cc1ccc2(n1)CC2C
91,CC.Cc1ccccc1.F.SCCCc1ccccc1
92,C.Cc1ccc2c(c1)C2C.csC
93,C.CC1CCCCCC1C
94,CCc1c2c(Cl)c3cc3c12.Cc1cccc-c1Cl.co
95,C.CC.CCC
96,C.Clc1cccc(-c2ccc3ccc(Cl)cc3c2)c1.c1c2cccc2-1.cc
97,CC1CCC2CC2CC1CCl.Cc1ccccc1.O
98,CCCc1ccccc1.CO.Cc1ccc2ccccc2n1
99,CC.CC1ccc(CCc2cccc(S)c2)cc1.O
100,C.ccc
