SMILES,DS
CC1CC(=O)NC(=O)NCCCC(=O)NCc2ccccc2C1,-10.237
CC1CNCC(C)C(=O)NC(C)C(=O)NCc2ccccc2C1,-10.028
CC1C=C2CCN(C)CC(C)CCCC(O)C=CC(C2)C1,-10.02
CCC1CC2=C(F)C=C1CCCCCCC(C)CC=C2Cl,-9.985
CC(=O)OCC=C1Cc2ccccc2C2=CCCOC=C2C1=O,-9.93
CCC1=CC=C2CC(=C1)CNC(C)CC1=C(CCC1)C2,-9.865
CC1C=C2CCN(C)CC(N)CC=CCCNCC(C2)C1,-9.719
CC1CCCCCCNCCCCCOCc2ccccc2C1,-9.717
CNC1CCCC2=CCC=CC=C2NC(C)CCC1C,-9.706
CC1CCCN(C)CCNC(C)C(=O)NCc2ccccc2C1,-9.69
CC1C=C2CCN(C)CC(C)CCCC(Cl)NCC(C2)C1,-9.684
CC1CNCC(C)Cc2ccccc2CNC(=O)C(C)CNC1,-9.659
COC1CCCc2c(ccc3c2C3)NC(C)C(C)C1C,-9.627
CC1CNCC(C)Cc2ccccc2COC(=O)C(C)CNC1,-9.6
CC1CNCC(C)C2c3ccccc3COC(=O)CC2CNC1,-9.586
CCC1CC2=C(Cl)C=C1CCC(=O)CCC(Cl)CC=C2Cl,-9.552
CC1C=C2CCN(C)CC(C)CCCC(O)ONC(C2)C1,-9.545
CC1CNCCCCNCC(C)C(=O)OCc2ccccc2C1,-9.541
CC1=NN=CNCCCCC(C)C(=O)NCc2ccccc2C1,-9.523
CC1=CC(=O)NC=CNCCC=CCOCc2ccccc2C1,-9.506
CC1C=C2CSSNCC(C)CCCC(Cl)NCC(C2)C1,-9.461
CC1CNCC(C)CC2=CCCC=C2CNC(=O)C(C)CNC1,-9.417
CC1=NNCC(C)CNCCC(=O)COCc2ccccc2C1,-9.414
CC1CNCN(C)CNNCC=CC=CCc2ccccc2C1,-9.414
CC1=CC(=O)NCCNNC(C)C(=O)NCc2ccccc2C1,-9.353
CCC1=CCC2=CC3CCCC3CC(C)NNC(=C1)C2,-9.334
COC1CCCC2=CCC=CC=C2C(=O)NNC1C,-9.331
CC1CC(=O)CC(=O)NNC(C)C(=O)NCC2=CCCC=C2C1,-9.329
CC=CC=CC1=CCC2CCNC2Cc2ccc(C)cc21,-9.325
CCC1=CC2=CCC=C1CC(C)CCCC=CCCC2C,-9.315
