SMILES,DockingScoreProperty,CornealProperty,MelaninProperty,IrritationProperty
NC(=O)NN(NNC1CCCCCC1)c1ccc2ccccc2n1,-9.2,0.65,0.65,0.03
NC(=O)Nc1cccc2cc(O)c(NN[NH2+]C3CCCC3)nc12,-9.1,1.0,1.0,0.03
NC(=O)Nc1ccc2cccc(NN[NH+](NC(N)=O)C3CCCC3)c2n1,-9.0,0.99,0.99,0.04
NC(=O)NCc1cc2ccccc2nc1NNC1CCCCCC1,-9.0,0.66,0.66,0.03
NC(=O)NCc1cc2ccccc2nc1NNC1CCCCCC1,-9.0,0.66,0.66,0.03
NNNc1nc2ccccc2cc1NNC1CCCCCC1,-8.9,0.93,0.93,0.04
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
CC(F)(NC(N)=O)c1cccc2ccc(NNNC(N)=O)nc12,-8.8,0.99,0.99,0.05
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
