,SMILES,QED,Proxy
sample0,Cc1nc(CN(C(=O)[C@@H]2CCN[C@@H]2C)c2c(N)c(N)c(N)c(N)c2N)n[nH]1,0.346,-8.366
sample1,Cc1cnc(C(=O)N(Cc2cn(CC3CC3)nn2)C2(C(=O)O)COC[C@H]2C#N)o1,0.706,-8.136
sample2,Cc1nc(C)c(CN(C(=O)c2nc(N)c[nH]2)c2[nH]c(=O)sc2C=O)[nH]1,0.492,-7.932
sample3,Cc1noc(CO)c1Sc1cc(NC(=O)c2cc[nH]n2)c(F)cc1N,0.512,-8.334
sample4,Cn1c(Oc2cnc(Br)nc2)nnc1Oc1ccn2nccc2n1,0.488,-7.852
sample5,COC(=O)c1nn[nH]c1N(C(=O)[C@H]1CN[C@@H]1C)c1cc2c(cc1C)OCO2,0.759,-8.441
sample6,NC(=O)c1coc(N(c2snc(C(N)=O)c2Cl)[C@@H]2CN[C@H](C(=O)O)C2)c1,0.546,-7.811
sample7,CCn1cccc(CN(C(=O)c2cc(C#N)c[nH]2)C2(C(=O)O)COC[C@H]2C#N)c1=O,0.712,-8.525
sample8,CCCC[C@@H](OC[C@H](N)c1cccnc1)C(=O)NCC(C1CC1)C1CC1,0.601,-7.963
sample9,Cc1nc(C)c(Oc2nnc(Oc3cc(C#N)ncn3)n2C)o1,0.706,-7.668
sample10,Nc1cccc(Nc2cnnc(NC[C@H]3COC(=O)N3)c2N)c1N,0.427,-8.076
sample11,Cn1nc(NC(=O)[C@@H]2CCC[C@@H]2O)cc1NC(=O)C(=O)C1CC1,0.681,-7.604
sample12,CNC(=O)c1ccnc(N(C(=O)c2ccc(N)cc2F)[C@H]2C[C@H](C(C)(C)O)C2)c1,0.668,-8.654
sample13,CC1(C)[C@@H](C(=O)Nc2c(F)cc(Br)cc2C=O)N1C(=O)[C@@H]1CSC(=O)S1,0.548,-8.001
sample14,COc1cncc(O[C@H](CNCc2cccnn2)C2(C)CC2)n1,0.792,-7.597
sample15,Cc1nnn(C)c1N(C(=O)c1ccc[n+](C)c1)c1cncc(C#N)n1,0.649,-7.954
sample16,C[C@@H](Oc1ncccc1N)[C@H](O)C(=O)Nc1cnc2n1CCCC2,0.752,-7.478
sample17,N#Cc1cc(NC(=O)c2ccc(C#N)[nH]2)n(C2(C(=O)O)COC[C@@H]2C#N)c1,0.719,-8.177
sample18,N#C[C@H]1C[C@@H]1C(=O)Nc1ccc([C@H](N)CNc2nc(C3CCC3)ns2)cc1,0.678,-8.525
sample19,Cc1ccoc1CC(=O)NCc1ccc(-c2noc([C@@H]3SCC[C@@H]3N)n2)nc1,0.648,-8.427
sample20,CC(C)n1ccc(C(=O)N(C)Cc2cnn(C(C#N)(C(=O)O)c3cccc(Cl)c3)c2)n1,0.603,-8.305
sample21,CO[C@H]1C[C@@](C(=O)O)(N(C(=O)c2ccnc(CC#N)c2)c2cn(C)nc2CO)C1,0.691,-8.070
sample22,CCn1c(N)c(Cl)c(Oc2cccc(=O)n2CC[C@H](C)O)nc1=O,0.806,-7.478
sample23,CCOc1nc(C)ccc1NC(=O)[C@H](C)N(C(=O)c1cc(N)n(C)n1)[C@@H](C)c1ccccc1,0.544,-8.713
sample24,O=C(Nc1ccnnc1NCc1ccnc(O)c1)[C@H]1CCOC1=O,0.540,-7.872
sample25,CC[C@@]1(C(=O)N(c2cnc(O)nc2)c2cc(C)nc(F)c2)CC[C@H](N)C1,0.813,-8.324
sample26,CC(=O)c1c(C)cccc1N(c1cc(B(O)O)ccn1)c1cnc(C(=O)O)s1,0.426,-8.590
sample27,NC(=O)CCC(=O)N(c1ncc(Cl)cn1)c1ccc(Cl)cc1O,0.856,-7.893
sample28,O=C(Cn1cccn1)Nc1c(Nc2nnc(C3CC3)o2)c(O)n[nH]c1=O,0.485,-8.136
sample29,C[C@@H]1OC(=O)[C@@H](C)C1(C(=O)O)n1c(=O)n(C(=O)c2nnn(C)n2)c(=O)c2ccccc21,0.497,-8.940
sample30,C[C@@H](c1ccno1)N(C(=O)c1cnc[nH]1)C(C)(C(=O)O)C1C(=O)CCC1=O,0.712,-7.924
sample31,N#C[C@H]1C[C@@H]1C(=O)N(CCc1cn[nH]c1)c1cncnc1O,0.836,-7.425
sample32,C[C@@H](CN(C(=O)c1cc(C#N)c[nH]1)C1(C(=O)O)CC[C@@H]1C(C)(C)C)c1ccncc1,0.755,-8.484
sample33,C[C@@H]1OC(=O)[C@@H](C)C1(C(=O)O)N(Cc1nnc(S)o1)C(=O)c1nc[nH]n1,0.454,-7.467
sample34,CC(=O)N(C)c1ccccc1Oc1cc(N)c(O)nn1,0.880,-7.488
sample35,Cc1onc(Nc2c(C)n(C)n(C)c2=O)c1C(=O)N[C@H]1CCCCCC1=O,0.787,-8.180
sample36,CC1(C)CC(C(=O)O)(N(CCn2cncn2)C(=O)c2cnc[nH]2)CO1,0.761,-7.506
sample37,Cc1ccc(F)c(C(=O)N(C)c2nccnc2NC(=O)c2nn(C)cc2N)c1,0.709,-8.505
sample38,CCc1nc(C=O)c(Oc2cc(C)c(Oc3nnc(C)c(O)n3)cn2)[nH]1,0.637,-8.417
sample39,Cc1c(CO)cccc1Oc1nnc(Oc2ccc(Br)cc2CC(N)=O)n1C,0.576,-8.354
sample40,Cc1nnc(CNC(=O)c2ccncc2NC(=O)c2nc[nH]n2)n1C,0.584,-7.802
sample41,CCN1CCC(C(=O)NCc2cccnc2Cl)(n2nc(C(N)=O)nc2C)C1,0.691,-8.236
sample42,C[C@@H](C(=O)N1CCC1)c1nc(C(=Cc2cc(O)ncn2)Cn2cncn2)no1,0.654,-8.307
sample43,Cc1nc[nH]c1C(=O)N[C@@H](C)[C@H](N)C(=O)Nc1cc(O)c(N)cc1O,0.222,-7.894
sample44,CCn1nnnc1N(C(=O)c1nc(N)c[nH]1)c1c(C)csc1Cl,0.741,-7.596
sample45,CC[C@@H](c1ccnn1C)N(C(=O)[C@@H]1C[C@@H]1C#N)C(C)(C(=O)O)c1coc(C)n1,0.774,-7.878
sample46,CCCn1nc(C)cc1N(C(=O)c1ncoc1C)C(C)[C@H]1CCCC[C@H]1N,0.837,-7.864
sample47,COc1ncc(N2CCN([C@@H]3CCOC3=O)CC2)cc1CNC(C)(C)c1ncon1,0.655,-8.323
sample48,CN(C(=O)[C@@]1(C)SCCN1C(=O)C1(C)COC1)c1ccc(C#N)cc1,0.823,-7.699
sample49,CC(=O)N(c1ccnnc1Cl)c1cccc(CO)c1C,0.944,-7.630
sample50,C[C@@H]1OC(=O)[C@@H](C)C1(C(=O)O)n1c(=O)n(C(=O)c2nnn(C)n2)c(=O)c2scnc21,0.458,-8.264
sample51,O=C1N[C@H](O)[C@H](Oc2ncc3c(OCC[C@@H]4CNCCN4)n[nH]c3n2)N1,0.341,-7.738
sample52,Cc1nnn(C)c1N(C(=O)[C@@H]1CCCO1)C1(C(=O)O)COC[C@@H]1C#N,0.779,-7.535
sample53,COC(=O)Cc1ncc(O[C@H](C)c2ccc(CNC(=O)[C@H](N)[C@@H](C)O)cc2)s1,0.536,-7.924
sample54,COC(=O)[C@@H]1OCC[C@@H]1N(C(=O)[C@@]1(N)C[C@@H]1C)c1nc(C(F)F)co1,0.782,-7.676
sample55,COc1cc(C(=O)Nc2ncn(C)c2C)cc(Oc2ncnc(O)n2)c1C,0.698,-8.248
sample56,Cn1cc(C=O)c(N(C(=O)[C@H]2C[C@@H]2C#N)[C@@H](C#N)c2ccccc2F)n1,0.768,-8.306
sample57,C[C@H](CN)C(=O)N(C[C@H](C)Oc1nc(=O)n(C)[nH]1)c1ccnnc1,0.683,-7.302
sample58,CC(C)[C@@H]1C[C@H]1C(=O)N1C[C@@H](F)C[C@H]1C(=O)Nc1cc(N)n(C)n1,0.862,-7.786
sample59,Cc1cc(Nc2cnc(N[C@@H](C)Cn3ccnc3)nc2)ncn1,0.719,-7.282
sample60,Cc1cc(C)c(CNC(=O)[C@@H](O)CNC(=O)[C@H](N)[C@@H](C)F)cn1,0.538,-7.626
sample61,Cc1cc(N(Cc2ccc(C)c(F)c2)C(=O)[C@@H]2CCCO2)n(C)n1,0.865,-8.300
sample62,CC1(C)NCC[C@H]1Oc1cc(Cl)c(Nc2cc(CN)on2)cn1,0.770,-7.861
sample63,Cc1nc(C#N)cnc1NC(=O)C[C@@H](Oc1ccc(C#N)o1)C(F)F,0.848,-7.897
sample64,Cc1ccc(C(=O)n2c(=O)[nH]c3cccc(OC[C@H]4CN[C@@H](C)C4)c3c2=O)c(C)n1,0.682,-9.302
sample65,Cn1ccc(C(=O)N[C@@H]2[C@H](Oc3c[nH]c(=O)cn3)CCCC2(C)C)n1,0.868,-8.051
sample66,C[C@H]1NC[C@@H]1C(=O)NCc1ccc(C(=O)Nc2ncnc3sccc23)cc1,0.629,-8.746
sample67,Cc1nnn(C)c1NC(=O)c1c[nH]nc1OCCc1cc(C#N)ccn1,0.675,-8.166
sample68,Cc1nnc(CCN(Cc2nnnn2C)c2nnc(C)n2C)o1,0.597,-7.585
sample69,Cn1ncc2c1C(=O)NC1(CC[C@H]3[C@@H](C(=O)NC4(C)CC4)[C@H]31)N2c1cccc(C=O)c1N,0.497,-9.326
sample70,C[C@H]1NC[C@@H]1C(=O)N(c1cnc(Br)nc1)c1cccc(C(N)=O)n1,0.752,-8.145
sample71,O=C(c1nc[nH]n1)N(Cc1csc(C(F)(F)F)c1)C1(C(=O)O)C=C[C@@H]2CO[C@H]1O2,0.693,-8.516
sample72,Cc1nc(CNC(=O)c2ccccc2CC#N)n(C2(C(=O)O)C(=O)C=CN(C)[C@H]2C)c1C,0.661,-8.516
sample73,C[C@@H]1OC(=O)[C@@H](C)C1(C(=O)O)N(Cc1ccc2occcc1-2)C(=O)c1cccs1,0.643,-8.584
sample74,Cc1nnn(C)c1N(C(=O)[C@@H]1CCC(=S)N1)c1nc(C(N)=O)n[nH]1,0.601,-7.533
sample75,CC[C@H](N)CCC(=O)N(c1cccc(NC)n1)[C@H](CC)c1ccc(O)c(Cl)c1,0.573,-8.336
sample76,C[C@H](c1nncn1C)N(C(=O)[C@@H](N)C1(C)CC1)c1cccc(C=O)c1N,0.597,-8.344
sample77,C[C@@H]1[C@@H](C(=O)N[C@H](C)c2c(F)cncc2F)CN1C(=O)C=Cc1cocn1,0.808,-8.155
sample78,Cc1c(CN(C(=O)Cc2csnn2)c2ccc3nccnc3c2)nnn1C,0.519,-8.153
sample79,CN=c1[nH]cc(N(C(=O)NC[C@]2(O)CCOC2)c2ccc(Cl)c(F)c2)cc1C,0.726,-8.563
sample80,Cc1n[nH]c(C)c1N(C(=O)CC[C@@H](N)C(C)C)[C@@H](C)Cc1cnccn1,0.755,-7.620
sample81,Cc1nn(C)cc1OC1(Nc2ncc(C#N)nc2C)C(=O)N(C)C(=O)C1Cl,0.455,-8.114
sample82,COC(=O)c1cnc(Cl)cc1N(C(=O)c1nccn1C)C1=C(N)C(=O)OC1,0.593,-7.906
sample83,C[C@@H]1[C@H](C(=O)Nc2ccnnc2Br)CN1C(=O)c1cccnc1O,0.819,-7.871
sample84,COc1ccc(Br)c(N(C(=O)C2(F)CCC2)c2ccc(O)nn2)c1,0.856,-8.141
sample85,CN1C[C@H](NC(=O)c2ccc(CNc3c[nH]c4nccc-4c3)cc2)C(=O)N1,0.545,-8.946
sample86,C[C@H]1NC[C@@H]1C(=O)NC[C@H]1C[C@@H]1C(=O)Nc1cnnc(Cl)c1N,0.600,-7.757
sample87,Oc1ccc(Nc2nnc(C(F)(F)F)o2)c(-c2cc(O)ncc2F)c1,0.488,-8.848
sample88,C=C1C[C@@]1(C(=O)O)N(C(=O)[C@H]1CN[C@H]1C)c1[nH]nnc1C(=O)OC,0.475,-7.578
sample89,CN(Cc1cnn[nH]1)C(=O)c1ccc(CNC(=O)[C@@H]2CCNC2=O)cc1,0.621,-8.389
sample90,Cc1cc(Nc2nncc(N)c2N)c(O[C@]2(C)CCC(=O)NC2)cc1N,0.513,-8.530
sample91,Cc1cc(O)c(NC(=O)[C@H]2CN[C@@H]2C)cc1OCc1c(C)ccn1C,0.729,-8.121
sample92,Cn1cc(C=O)c(N(Cc2nc(=O)o[nH]2)C(=O)[C@H]2C[C@@H]2C#N)n1,0.741,-7.657
sample93,Nc1cnnc(Oc2nncc(NC(=O)C[C@@H](O)C(F)F)c2N)c1N,0.462,-7.898
sample94,CCn1ncc(CN(C(=O)[C@H]2CN[C@H]2C)c2c(C)noc2C)c1F,0.901,-7.860
sample95,Cc1cnnc(Sc2ccn(C3(C(=O)O)[C@H](C)OC(=O)[C@H]3C)c3nccc2-3)c1,0.668,-8.587
sample96,Cc1cccc(N(C)c2nnccc2-c2noc([C@H]3COC(=O)N3)n2)c1C(N)=O,0.655,-8.796
sample97,COc1cccc(C#N)c1N(C(=O)c1csnc1Cl)c1ccnnc1Cl,0.648,-8.087
sample98,COc1nsnc1N1CCNC(=O)[C@@H]1C(=O)N[C@H]1CCC(=O)N[C@@H]1C,0.560,-7.451
sample99,CCn1nnnc1Nc1cnnc(Oc2c(F)cc(C(=O)NC)cc2F)c1N,0.565,-8.849
sample100,Cc1nnn(C)c1N(C(=O)[C@H]1CCNC1=O)C1(C(=O)O)[C@@H](C)OC(=O)[C@@H]1C,0.501,-7.830
sample101,N#Cc1cccc(N(C(=O)[C@H]2CC[C@H]2N)c2cccc(O)c2O)c1,0.751,-8.447
sample102,CON(C)C(=O)c1n[nH]cc1Oc1cc(NC(=O)c2cc(-c3ccc[nH]3)on2)c(C(=O)O)cn1,0.279,-8.682
sample103,CCn1cnc(Nc2cc(-c3nc(-c4cnn(C)c4)no3)oc2Cl)c(Cl)c1=O,0.521,-8.483
sample104,CCCn1cc(N(C(=O)c2ccnn2C(C)C)c2ncsc2C=O)cn1,0.594,-7.362
sample105,CC1(C(=O)N(Cc2cnc(Cl)nc2)c2cc(C#N)ncn2)CC1,0.798,-7.832
sample106,CCn1ccc(C(=O)N(c2ccc(CO)cc2F)c2nc(C=O)n(C)c2C)c1,0.663,-8.587
sample107,Cc1noc(C(=O)Nc2cc(F)c(NC(=O)[C@H]3CCNC3=O)cc2Cl)n1,0.689,-8.592
sample108,CC[C@H](NC(=O)[C@H]1CN[C@@H]1C)C(=O)Nc1cncc(Cl)c1C#N,0.745,-7.705
sample109,Cc1[nH]c(CN(C(=O)c2ncoc2C)[C@H]2[C@@H](C#N)C=NN2C)c(C)c1Br,0.821,-8.054
sample110,CCN1C[C@@H](C(=O)Nc2cccc(Oc3cnc(C)nc3)c2F)CC1=O,0.888,-8.460
sample111,Cc1cncc(NC(=O)CNC(=O)[C@@H]2C[C@H]2C(N)=O)c1,0.676,-7.306
sample112,CNC(=O)c1ccnc(N(C(=O)c2cc(C)on2)[C@@H]2COCC[C@H]2OC)c1,0.838,-7.798
sample113,COc1ccc(Oc2ccc(C(C)(C(=O)O)n3cc[nH]c(=O)c3=O)nn2)nn1,0.541,-8.284
sample114,C[C@H]1CC(C(=O)N2CC(n3ccnn3)C2)(n2cncc2C(N)=O)[C@@H](C)O1,0.789,-8.074
sample115,C[C@@H]1CN[C@@H](C(C)(C)Oc2c(NC(=O)c3nncs3)ccc3c[nH]nc23)C1,0.623,-8.454
sample116,Cn1cc(CNC(=O)C2CC(c3noc([C@H]4CC[C@@H]4F)n3)C2)nn1,0.883,-8.220
sample117,CCn1cc(N(c2c(C(=O)O)nc[nH]c2=O)C(=O)[C@H]2C[C@@H](O)C2)nn1,0.654,-7.548
sample118,C[C@@H](O)c1cn(CC(=O)N(CC#N)c2cnc(C(N)=O)cn2)nn1,0.622,-7.457
sample119,CCO[C@@H]1C[C@@H](NC(=O)c2cnn(C)c2OC[C@H]2CSC(=O)N2)[C@H]1OC,0.674,-7.391
sample120,Cc1nnc(C(=O)N[C@H]2CC[C@@H]2C(=O)Nc2ncccc2CO)o1,0.723,-8.061
sample121,C#CC1(Oc2cn(C)nc2-c2noc([C@@H]3CCO[C@@H]3C)n2)CCN(C)CC1,0.759,-7.915
sample122,CO[C@@H](C)[C@H](NC(=O)c1ccnc(C)n1)C(=O)Nc1ccc(C)c(F)c1C,0.809,-8.406
sample123,Cc1nc(C(C)(C(=O)O)N(Cc2cn(C)nn2)C(=O)c2cnc(F)c(C)c2)co1,0.616,-8.399
sample124,C[C@@H]1[C@@H](C(=O)NCc2nnc3ccccn23)CN1C(=O)c1cnn(C)c1O,0.666,-8.397
sample125,CCc1nc(OC2(C(C)=O)CCC2)c(Cl)n1C(C)(C(=O)O)c1nncn1C,0.762,-7.751
sample126,Cc1cnc(NC(=O)[C@@H]2C[C@@H]2C#N)c(C(=O)Nc2ncccc2CO)n1,0.729,-8.179
sample127,Cn1[nH]c(OC[C@H](NC(=O)c2ncncc2N)C(C)(C)C)nc1=O,0.681,-7.494
