,SMILES,QED,Proxy
sample0,C[C@]1(Oc2nc(CO)co2)CCN(C(=O)c2cccc(F)c2)C[C@H]1N,0.863,-8.237
sample1,O=C1N[C@H](Oc2nc[nH]c3nccc2-3)[C@@H](Oc2cnn3ccccc23)N1,0.504,-8.738
sample2,N#Cc1ncoc1NC(=O)[C@@H](CCN)Nc1cc[nH]c2nccc1-2,0.531,-7.969
sample3,C[C@H](O)[C@H](NC(=O)c1nnnn1C)C(=O)Nc1c[nH]c2cccc(F)c12,0.503,-8.396
sample4,CC(C)(N)C(=O)NC[C@H]1C[C@H](Oc2ccc(F)cc2C#N)CN1,0.740,-7.967
sample5,Cn1ncc(C(=O)Nc2ccc(F)cc2O[C@@H]2[C@H](N)[C@H](O)OC[C@@H]2O)n1,0.538,-8.086
sample6,N#CCc1ccc(O[C@@H]2CCN(C(=O)[C@H](N)CCN)[C@@H](C(=O)O)C2)cc1,0.632,-8.154
sample7,Cc1nn(C)c(N(C(=O)C2(C(N)=O)CC2)C(C)(C(=O)O)c2ccccc2F)c1C#N,0.684,-8.459
sample8,N#Cc1ccoc1NC(=O)c1cccc(O[C@H]2CC(=O)NC2=O)c1,0.815,-8.268
sample9,CC(=O)c1cccc(O[C@H]2NC(=O)N[C@@H]2Oc2ccc(F)nc2)c1,0.645,-8.555
sample10,CC(=O)c1cccc(OC2([C@H](C)NC(=O)c3nnnn3C)COC2)c1,0.754,-8.253
sample11,Cn1nnnc1C(=O)N[C@H](CCN)C(=O)Nc1cc(F)c(F)cc1C#N,0.621,-8.428
sample12,Cn1ncc(C#N)c1O[C@H]1CC(=O)N(C(C)(C(=O)O)c2ccccc2)C1=O,0.774,-8.405
sample13,C[C@@H]1[C@H](c2ccccc2)N1C(=O)[C@@H](CCN)NC(=O)c1nnnn1C,0.691,-8.415
sample14,CNC(=O)[C@@H]1C[C@@H]1C(=O)N[C@H](C(=O)NC[C@@H](O)c1ccc(Br)cn1)[C@H](C)O,0.358,-7.655
sample15,Cc1nn[nH]c1C(=O)N1C[C@@H](O)C[C@@H]1CNC(=O)c1cc(C#N)c[nH]1,0.577,-8.029
sample16,Cn1nnnc1C(=O)N(c1ccc(F)cc1C#N)[C@H](CF)CCC(=O)O,0.779,-8.231
sample17,Cn1ncc(C(=O)N[C@@H]2C[C@H](N)[C@@H](Oc3nc[nH]c4nccc3-4)[C@H](O)[C@H]2O)n1,0.339,-8.401
sample18,Cc1nn[nH]c1C(=O)N[C@@H]1C[C@H](N)[C@@H](Oc2ccnc(F)c2)[C@H](O)[C@H]1O,0.415,-8.215
