,SMILES,QED,Proxy
sample0,Cc1c(Sc2cc(CN(CCF)C(=O)C(=O)NCC(=O)Cc3ccccc3Cl)n(C)n2)c(C#N)nn1C,0.388,-8.594
sample1,Cc1ccc(C#N)nc1N(c1cncnc1CNC[C@@H](Cc1ccccn1)C(=O)O)C1CCC1,0.472,-8.583
sample2,Cc1c(Nc2ncccc2-c2nnc(C[C@@H](N)c3c[nH]c4ccccc34)o2)cccc1N1CCCC1,0.282,-9.736
sample3,C=CCN(Cc1ccnc(C)c1N(C)c1cnn2cc(C)ccc12)[C@@H]1COC[C@H]1C,0.553,-8.532
sample4,Cc1cc(NC(=O)c2nc(NC(=O)CCc3cccnn3)c[nH]2)ccc1S(=O)(=O)O,0.410,-8.424
sample5,CCN(C(=O)[C@@H](CN)N(C)c1cnc2c(N)nccc2c1)c1cnc[nH]c1=N,0.476,-8.155
sample6,CC(C)[C@@H](CO)CNC(=O)CCNC(=O)c1cc(O)nc(Oc2cnc(CO)c(Cl)c2)c1,0.334,-8.232
sample7,CCc1ccc(C)nc1Oc1ccc(C=O)cc1NC(=O)NC(C)(C)CC1CC1,0.598,-8.680
sample8,CC[C@H](C)[C@@H](c1nc(-c2ccncc2N[C@H]2CC23CCC3)no1)N(CC#N)C(=O)C(=O)N(C)c1ccc(N)cc1N,0.199,-8.612
sample9,COc1cc(Oc2cc(C)cc(=O)o2)c(C(=O)O)cc1NC(=O)c1[nH]c2nccc-2cc1Br,0.346,-9.163
sample10,Cc1nc(C(=O)Nc2cccc(Cl)c2NC(=O)N[C@@H]2CCc3cc(F)ccc32)n[nH]1,0.503,-9.267
sample11,O=Cc1n[nH]c2ncc(Sc3cccc4c3OC[C@@H](Oc3ccc5c(n3)CC(=O)N5)C4)cc12,0.437,-9.663
sample12,CCn1ccc(=O)c(CNC(=O)C(=O)Nc2cc(CO)cc(Nc3ccnc(Cl)c3O)c2)c1,0.262,-8.861
sample13,O=C(Nc1cnc2cc(Sc3cccc4nn[nH]c34)ccc2c1)c1ccn(CCF)n1,0.419,-9.408
sample14,COC1(Oc2cc(F)c(C(=O)O)cc2NC(=O)CC[C@@H](O)CNCC2CCC2)CSCC(=O)C1,0.321,-8.406
sample15,CCNc1ccc(Cl)cc1C(=O)NCCc1cc(C(=O)N[C@]2(C)CCc3ccccc3C2)ccn1,0.423,-9.573
sample16,COc1ccc(Oc2ncc3ccc(Sc4ccc(C(=O)OCC#N)cc4C)n3n2)c(N)c1,0.317,-8.994
sample17,COc1cccc(N(C)C(=O)c2cncc(C)c2S(=O)(=O)c2ncnc(C)c2C#N)c1F,0.538,-8.845
sample18,Nc1c(NC(=O)Nc2cc3cccccc-3c2)cc(S(=O)(=O)c2cncc(O)c2Cl)nc1Cl,0.296,-9.369
sample19,O=C(Nc1nsnc1C(=O)N[C@@H](CF)c1ccc(Br)cc1)NC1(CNC(=O)[C@H]2C[C@H]2F)CC1,0.387,-8.639
sample20,CCC1(C(=O)N(C)CCN(C(=O)c2cc(C)[nH]c2C)C2(C(=O)O)CCC(CN(C)C[C@H](C)OC)CC2)CC1,0.401,-7.966
sample21,Cc1[nH]nc(C(=O)N2CC[C@@H]2C)c1OC(=CN[C@]1(C(=O)O)CC[C@@H]1CO)COC(=O)C1=COCC1,0.273,-8.183
sample22,CC(C)(C)c1nc(=O)on1C(C(=O)Cl)(c1nc2c(F)cc(Br)cc2o1)c1c[nH]c2ccc(F)cc12,0.294,-9.327
sample23,C[C@@H](CN(C)C(=O)[C@@H]1C[C@@H]1F)n1cnc2c(N[C@H]3CC[C@H]3C(=O)OC(C)(C(=O)O)c3ccccc3S)ncnc21,0.248,-9.031
sample24,Cc1c[nH]c2cc(N(c3cnc(S(C)(=O)=O)s3)c3c[nH]nc3C(C)C)ccc12,0.495,-8.171
sample25,C=C(C)c1ccc(C(=O)N[C@H]2COc3cc(Br)ccc32)cc1N[C@H]1C[C@@H]2CC[C@H]1C2,0.572,-9.267
sample26,Cc1cc(N)nc(Sc2cc(N(CC3CCSCC3)C3([C@H](C)O)CC3)cnc2CO)c1,0.546,-8.219
sample27,Cn1cc(C#N)cc1NC=C(CN1CCO[C@H](C(N)=O)C1)Oc1ccc(C=O)c(Cl)c1,0.471,-8.635
sample28,C#C[C@@H](C)N(CC1CCc2ccccc2C1=O)c1snc(Sc2ccnc(CO)c2C)c1C#N,0.485,-8.832
sample29,C[C@H](c1nc(COc2ccc(Nc3cc4ccccc4oc3=O)cc2F)no1)n1cccn1,0.365,-9.608
sample30,C[C@@H]1[C@H](c2nc(C3(c4ccncc4)CCC3)no2)C(=Cc2cnc3c(c2)CCC3)C(=O)N1c1ccccc1,0.338,-10.010
sample31,COc1ccc2nc(CO[C@@H]3COCC[C@H]3N[C@H](C)c3nc(-c4cccc(F)c4)no3)[nH]c2c1,0.403,-9.367
sample32,Cc1cc(CN(C(=O)NC[C@H](c2ccccc2)C(C)C)[C@@]2(F)C[C@@H]2C(=O)Nc2nccn2C)c(C)n1C,0.413,-9.022
sample33,Cc1ncc(O)cc1N(C(=O)[C@H](N)CC[C@H](F)CN)c1ccc2ccoc2c1,0.574,-8.518
sample34,Cc1cccc2c1CCC[C@H]2NC(=O)Nc1ccc(C)c(Nc2cccc(F)c2OC(C)C)c1F,0.347,-9.415
sample35,CC[C@H]1CC(C(=O)O)(n2c(C)c(OC[C@H](C)N(C)C(=O)N[C@H]3CCC[C@H]3C)ccc2=N)c2ccccc2O1,0.477,-9.087
sample36,Cc1cc(F)c(NC(=O)C(=O)Nc2ccc(O)c(CNC(=O)Nc3cc(C#N)nn3-c3ccccc3)c2)cc1Cl,0.173,-8.870
sample37,CCN(c1ccc2nc([C@@H]3CNCc4ccccc43)oc2n1)[C@H](C)c1csnn1,0.538,-8.873
sample38,CCc1nocc1CN(C(=O)C(=O)Nc1ccc(Br)nc1O)[C@@](C)(CNC(=O)N(C)c1ccc(C)c(NC)c1)C1CC1,0.187,-7.851
sample39,COc1cc(NC(=O)C(=O)Nc2nonc2-c2nnc(-c3ccc4c(c3)CC(=O)N4)o2)cc(C#N)n1,0.338,-9.594
sample40,Cc1cccnc1N(C(=O)c1ccc2c(C#N)c[nH]c2c1)[C@@H](c1cncc(Cl)c1)C1CC1,0.437,-9.250
sample41,Cc1ccc2cc(NC(=O)Nc3cnc(S(=O)(=O)c4cnc(F)c(F)c4)c(N)n3)ccc2n1,0.384,-9.661
sample42,COc1nc(Cl)ccc1NC(=O)C(=O)N(C)Cc1ccc(C(=O)Nc2ccc3c(c2)CCCC3)cc1,0.379,-9.421
sample43,CCc1ccc(OC)cc1NC(=O)C(=O)Nc1ccc(CC(=O)N(c2nc(C)cc(=N)[nH]2)C2CCC2)cc1Br,0.289,-9.073
sample44,Oc1cc(NCc2c(O)cccc2NC[C@H]2Cc3ccccc32)cc(O)c1F,0.440,-9.067
sample45,COc1ccc(OCc2ccccc2-c2noc(-c3ccc(NC(C)=O)c(OC)c3)n2)cc1N,0.368,-9.271
sample46,O=C(Nc1ccc2ccoc2c1)N1C[C@@H]2CC[C@@]1(COc1c[nH]c3ncccc13)C2,0.515,-9.332
sample47,Cc1cccc(C(N)=O)c1N(C)C(=O)c1cc2ccc(Sc3ccc4cccnc4n3)nc2[nH]1,0.396,-9.596
sample48,Cc1ccc(CN2CC[C@H](C(=O)O[C@@H]3C[C@@H](O)CN(C(=O)COc4cccnc4Cl)C3)C2)nc1,0.465,-8.690
sample49,C[C@H](Cc1ccccc1F)N(C(=O)Nc1ccccc1C(F)(F)F)C(C(=O)O)(C(=O)Cl)c1c[nH]c2ccc(F)cc12,0.121,-9.655
sample50,CC(C)(C)[S@@](=O)CCNC(=O)N[C@@H]1c2ccccc2C[C@@H]1NCc1cccc(CO)n1,0.500,-8.565
sample51,Cc1cnc(N)c(Sc2nc(C)c(NC(=O)NCC[C@H]3COCCN3)c(=N)[nH]2)n1,0.369,-8.021
sample52,CC[C@H]1CCCN(C[C@@H](C)NC(=O)C(=O)NCc2cncc(CNC(=O)Nc3ccc(C4CC4)c(F)c3)c2)C1,0.345,-9.171
sample53,COc1ccc(C=NN(c2cnc3ccccc3c2)C(C)(C(=O)O)c2ccc(N)c(N)c2)nc1,0.217,-9.286
sample54,O=C(Nc1ccc(O)cc1F)Nc1ccc(NC(=O)C(=O)NCc2ccc(Cl)nc2Cl)c2ccncc12,0.140,-9.278
sample55,Cc1nc(C)c(F)c(Oc2cc(O)c(NC(=O)[C@H](N)CCC(C)(C)C)cc2Br)n1,0.534,-8.535
sample56,CCC[C@@](C)(O)CN=c1[nH]cnc(NCc2ccoc2Sc2cccc(O)c2OC)c1Cl,0.337,-8.213
sample57,CCC(CC)CNC(=O)CC(C)(C)CNC(=O)c1cc(Br)cc(NCc2ccc(C)nc2Cl)n1,0.302,-8.334
sample58,CN(C(=O)C1(c2cccnc2C(F)(F)F)CC1)c1ccc(Br)cc1-c1noc(-c2cc3nc(Br)ccc3[nH]2)n1,0.205,-9.727
sample59,N#Cc1ccc(Nc2ccc(-c3noc(-c4cc5nc(Br)ccc5[nH]4)n3)c(Cl)c2Cl)c(F)c1,0.234,-9.817
sample60,Cc1cc(CNC(=O)Nc2cncc(C(=O)N[C@H]3CC[C@H](CC#N)CC3)c2)cnc1Cl,0.587,-8.726
sample61,CCc1cc(F)c(F)cc1N(Cc1cccc(C)c1O)C(=O)C(=O)NCc1cc(C)nn1CC,0.513,-8.900
sample62,Cc1c[nH]c2ccc(-c3ccccc3NC[C@@H](O)CNC(=O)Nc3ccnc(C4CCC4)c3)cc12,0.238,-9.479
sample63,O=C1CC[C@H](COCc2cccc(CNC3=C(C(=O)O)CCCC3)n2)O1,0.687,-8.293
sample64,Cc1cnc(Oc2ccc3c(-c4noc([C@@H]5[C@H]6C=CC[C@H]65)n4)cccc3n2)c(NC(=O)C2(C#N)CC2)c1,0.360,-10.109
sample65,Cc1ccc(Nc2ccc3ccnc(Sc4cc(C(=O)NCC#N)c[nH]4)c3c2)c(O)n1,0.339,-9.225
sample66,Cc1ccc(CN(C)c2n[nH]cc2C(=O)Nc2ccc(-c3cnc(N)c(F)c3)cc2)c(C)c1,0.400,-9.720
sample67,CN(CCC(=O)n1c([C@]2(C)CCCOC2)nc2ccc(F)cc21)Cc1cc2ccncc2s1,0.400,-8.960
sample68,Cc1cc(NC(=O)NCc2ccc(Oc3ccc4[nH]ncc4c3)nc2Cl)n(CC2CC2)n1,0.354,-9.095
sample69,COc1ccncc1-c1ccc(CNc2ccnc(CNC(=O)[C@@H](C)[C@H](C)N)c2)c(C)c1,0.476,-8.977
sample70,NC(=O)c1ccccc1COc1ccc2nc(N3Cc4cnnn4Cc4ccccc43)nn2c1,0.436,-9.567
sample71,C[N+](C)(C)C[C@H]1CC(C(Nc2oncc2C#N)c2ccccc2F)C(=O)O1,0.618,-8.362
sample72,Cc1cc(C)c2nc(COc3c(Nc4cc(F)cc(C#N)c4)ncn3C)[nH]c2n1,0.538,-8.921
sample73,Cc1cc(N)c(C)nc1OC(C)(C)[C@H](NC(=O)C(=O)NCc1ccc(C)c(F)c1F)c1cncnc1,0.427,-9.113
sample74,COC(=O)c1cccc(C(=O)Nc2cc(F)c(O)c(Br)c2)c1NC(=O)N1Cc2cccc(C#N)c2C1,0.316,-9.638
sample75,N#C[C@H](NC(=O)n1c(Cc2ccccc2O)nc2c(Cl)nc(Cl)cc21)c1ccccc1Cl,0.370,-9.173
sample76,C[C@@H](C(=O)N(c1cncc(C(=O)O)c1)c1c(F)c[nH]c2nccc1-2)N(C)Cc1nc(C#N)cs1,0.412,-8.721
sample77,CC[C@H](O)CN1CCN(c2cccc([C@@H](C)N(CCC(N)=O)c3ccc([C@@H](N)C(=O)O)cc3Cl)c2)CC1,0.328,-8.756
sample78,C[C@H](NC(=O)c1nc2ccccc2cc1Nc1ccc2ncoc2n1)c1ccc(F)cc1C#N,0.385,-9.899
sample79,Nc1c(NC2(c3ccoc3)CC2)ccc(C(=O)N2CC[C@H](C3(NC(=O)c4cnns4)CC3)C2)c1Cl,0.410,-9.176
sample80,CCCN(C)C(=O)CC(Nc1ccc(Br)cc1CN(C)C(=O)Cc1cccc(Br)c1)c1ncccc1C,0.262,-8.944
sample81,C=C[C@@H](O)C(=O)NCC(Cl)Oc1ccc(Cl)nc1NC(=O)[C@H](CC)Nc1ncnc2c1ncn2[C@H]1CCCN(c2cn(C)nn2)C1,0.092,-6.965
sample82,Cc1ccc2c(Oc3cncc([C@H](NC(=O)C(=O)N4C(O)=COc5ncc(Br)cc54)C4CC4)c3)nc(O)cc2n1,0.279,-9.527
sample83,C=CCn1cc(C(=O)O[C@@H](C)c2nc(-c3cc(Sc4cc(C#N)ccc4F)ccc3CO)no2)nn1,0.261,-9.230
sample84,C[S@@](=N)(=O)c1cccc(NC(=O)C(=O)N(c2ccc(-c3cnon3)cc2)[C@H](C#N)C(=O)c2ccccc2Cl)c1,0.249,-9.529
sample85,Cc1cc(C#N)nc(N(C[C@@H]2C[C@H]2C)C(=O)Nc2c(CO)cccc2Nc2cnc(O)cc2C)c1,0.395,-8.895
sample86,Cc1nc(C(C)(C(=O)O)N(C[C@H]2CCCS2)C(=O)c2ccc(Oc3nc(C)n(C)n3)nn2)co1,0.499,-8.345
sample87,COc1c(O)cc(F)cc1N(Cc1ccc(S(C)(=O)=O)cc1)C(=O)c1cc(N)c(F)cc1Br,0.451,-8.989
sample88,Cc1cccc(CO)c1N(C)c1ccc(O)cc1Cc1nc(-c2ccc3ncc(Br)n3c2)no1,0.325,-9.286
sample89,O=C(Nc1cnn(Cc2nc(CC3(O)CN(C(=O)c4nccs4)C3)no2)c1)C(=O)Nc1cccn2nncc12,0.228,-8.834
sample90,CC[C@@H](NC(=O)C(=O)Nc1cc(C)cc(NC(=O)Nc2cc(C(C)C)nn2C)c1)c1ccc(Br)nc1,0.244,-8.868
sample91,COc1cc(Sc2cc(CNC(=O)C(=O)Nc3ncnc(O)c3N)cnc2O)ncc1O,0.277,-8.375
sample92,Cc1cc(Oc2ccc3c(ccn3C(C(=O)O)(c3cnn(C)c3)[C@H](C)N)n2)cc2n[nH]cc12,0.365,-8.980
sample93,COc1c(O)cccc1-c1cccnc1NC(=O)C(=O)Nc1c(F)ccc(Br)c1-c1nc(-c2cc(F)ccc2Br)no1,0.169,-9.691
sample94,C[C@@H]1CCCC[C@H]1N(CCC1CC(O)C1)C(=O)[C@@H]1[C@@H](c2cncnc2)C1(Cl)S(=O)(=O)c1ccc(C(=O)O)c(F)c1,0.416,-9.246
sample95,CCc1cc(F)c(F)cc1NC(=O)C(=Cc1cc(C)ccc1C)c1ccccc1C,0.374,-9.387
sample96,O=C(NS(=O)(=O)c1cnc(N[C@H]2C[C@H]2c2ccccc2Cl)s1)C(=O)N1CCC[C@@H]1c1ccco1,0.477,-8.817
sample97,Cc1cnccc1CCN(C(C)c1c[nH]c2nccc(Cl)c12)C(C)(C(=O)O)c1cccc(N)c1O,0.205,-9.094
sample98,CC(C)c1ncc(NC(=O)C(=O)N[C@@H](C=CC(=O)CN2C[C@@H](CN)[C@H](C)C2)[C@H](O)[C@@H](O)[C@H](O)CO)cn1,0.115,-7.864
sample99,COc1ccccc1[C@@H](C)CNC(=O)C(=O)Nc1cnc(Oc2c(F)cccc2Cl)c(C)c1,0.481,-9.144
sample100,CCNC(=O)C(=Cc1cc2ccncc2[nH]1)c1ccccc1COc1cnc2ccccn12,0.368,-9.445
sample101,CC(C)(COc1ccc2c(c1)NC(=O)[C@H]2OCCCc1nc(O)c2ccccc2n1)[C@@H](NC(N)=O)C1CC1,0.281,-9.523
sample102,COC(=O)C[C@H](NC(=O)NCc1c(F)cccc1Oc1ccc2c(c1)CNC2=O)C(=O)OC,0.513,-8.801
sample103,O=C(Nc1ccc2cnc(Nc3cccc(-c4ncccc4F)n3)cc2c1)C1=CCNCC1,0.425,-9.842
sample104,Cc1ncccc1[C@@H](C)N(Cc1ccc(Br)c(F)n1)C(=O)C(=O)N(CCC[C@H](C)O)c1ccccn1,0.310,-8.582
sample105,CC[C@@H](Sc1cc(CO)ccn1)c1nc2ccc(S(=O)(=O)c3cc(C(=O)NC(CF)CF)cc(N)n3)cc2s1,0.217,-9.206
sample106,C[C@@H](CN1CC[C@@]2(CCCO2)C1)Oc1ccc(CN(C(=O)c2ccncc2C#N)[C@@H](C)CO)nc1,0.584,-8.625
sample107,COc1cc(Br)cc(CCNC(=O)N2CCc3c2ccnc3N(CCc2cn[nH]c2)C[C@@H]2C[C@H]2C)c1,0.384,-9.176
sample108,C[C@@H](O)c1ccc(NC(=O)Nc2c(NC(=O)Nc3ccc4c(c3)NC(=O)[C@@H](Cl)C4)cnnc2Cl)cc1Cl,0.233,-8.875
sample109,Cc1ccc(B(O)O)cc1-n1cnc2c(N[C@@H](C)[C@H](C)C(=O)NCc3cc(OC[C@@]45CCCCN4CCC5)ccn3)ncnc21,0.186,-8.284
sample110,O=C1CN(C(=O)c2cc(Cl)ccc2OCc2nccn2C(F)F)c2ccc(Br)cc2N1,0.530,-8.850
sample111,CC[C@@]1(N(Cc2cc(C)ns2)C(=O)N[C@H](C)c2cnc(S(=O)(=O)Cn3nc4ccccn4c3=O)c(C)c2)CCOC1,0.309,-8.942
sample112,CS(=O)(=O)C[C@@H](CNC(=O)N[C@@H]1Cc2ccccc21)Oc1nccn2ncnc12,0.574,-8.526
