,SMILES,QED,Proxy
sample0,CC(=O)Oc1ccccc1N(CCF)Cc1cc(N2[C@@H]3CC[C@@H]2C(=O)NC3)nn1C,0.549,-8.404
sample1,COc1cc2c(c(N3CCC[C@@H](O)[C@H](C)C3)c1)OCCN2Cc1ncncc1Br,0.747,-8.315
sample2,Cc1nc(CN[C@H]2CCO[C@H]2C(=O)N2Cc3ccccc3C2)c(Cl)[nH]1,0.876,-8.598
sample3,CC(=O)N1CC[C@H](OC[C@@H]2C[C@@]23CCCN(c2cnn4cc(C)ccc24)C3)C1,0.816,-8.716
sample4,CN(C1CC1)[C@@H]1CCCN(C(=O)Nc2c[nH]c(C(=O)Nc3cc(F)cnc3C#N)n2)C1,0.672,-8.439
sample5,COc1ncc(NC(=O)[C@H](NC(=O)C2(C(C)=O)CCC2)[C@@H](C)F)cn1,0.709,-7.663
sample6,Cc1c(NC(=O)[C@H]2CC[C@H]2C#N)cc(N2CCC([C@@H]3CCCOC3)CC2)cc1B(O)O,0.622,-8.836
sample7,CCc1nnc(Oc2ccc(CNCC34CCC(CO)(C3)C4)cc2N)n1CC,0.574,-8.617
sample8,Cc1cc(F)cnc1N[C@H](C)c1ccc(N2CCS[C@H]3COCC[C@@H]32)nc1,0.860,-7.939
sample9,CO[C@H]1CCC(=O)N1C(C)(C(=O)O)c1c(C)cccc1Oc1ccc(C)nn1,0.816,-8.336
sample10,Cc1nc(C(=O)Nc2cc([C@H](C)C3CC3)no2)n[nH]1,0.875,-7.510
sample11,N#Cc1cc(O[C@@H]2COc3c(cccc3N3CCC[C@@H]3C3CCOCC3)C2)co1,0.783,-8.556
sample12,C[C@H](Oc1cc2c(cc1O)OCO2)[C@@H]1CCCCN1C(=O)N[C@H](C)c1ncc(C(=O)O)s1,0.594,-8.436
sample13,Cc1nc2n(n1)CCN(c1cc([C@H](C)NC(=O)C[C@H]3CCCNC3)on1)[C@@H]2C,0.805,-8.409
sample14,Cc1ccc([C@H](C)NC(=O)c2cc(NC(=O)[C@H](N)C3CC3)c(O)cc2F)s1,0.568,-8.496
sample15,CC(c1nccnc1Cl)N(C(=O)[C@@H]1CC[C@H](C)N[C@@H]1C)c1ccnn(C)c1=O,0.838,-8.110
sample16,CCc1n[nH]cc1N(c1cncc2c1NCCC2)[C@H]1CCOC[C@@H]1C,0.893,-7.959
sample17,CCc1ccccc1CNC(=O)C(C)(c1ccccc1C#N)N1C[C@H]2CCCCN2CC1=O,0.741,-9.355
sample18,COc1cc(N2CCOC[C@@]2(C)C(=O)N2CCc3cc(F)ccc32)c(N)cn1,0.869,-8.750
sample19,CC(=O)Nc1cncc(N2C[C@@H]3CC[C@@H]2[C@H](COc2cccc(CO)c2C)C3)n1,0.781,-8.716
sample20,Cc1ccc(C)c(CNC(=O)c2cc(C)[nH]c2C)n1,0.888,-7.743
sample21,Cc1cc(F)c(COC2=CC[C@H](CN3C[C@H]3CCCCO)CC2)c(F)c1,0.522,-8.610
sample22,CCC(C(=O)N[C@@H]1CCC[C@H]1OC)(c1cnccn1)n1oc(=O)nc1C(C)(C)C,0.782,-8.062
sample23,CC(C)(C)c1nocc1CNC(=O)[C@@H]1CC[C@@H]1NC(=O)c1ccc(Cl)c(F)c1F,0.715,-8.801
sample24,Cc1cccc2c1OC[C@@H](C(C)(OC(=O)OC(C)C)C(=O)O)C2,0.858,-7.277
sample25,C=C(C)c1ccc(C(=O)O)cc1N(C(=O)[C@@H]1CCn2c(C)nnc21)[C@H]1C[C@@H]2CC[C@H]1C2,0.789,-9.055
sample26,CCCn1ccc(Oc2cnc(N3CC[C@H](F)[C@@H](F)C3)cc2C)n1,0.835,-8.002
sample27,Cc1cc(N(c2c(C)ccc3c2CC(=O)N3)[C@@H](C)[C@@H]2CCOC2)ncc1CO,0.832,-8.505
sample28,Cc1cc(N)cc(N(C[C@H]2COC[C@H]2O)c2cnc(C=O)nc2)c1,0.630,-8.124
sample29,C[C@H](C(=O)NCCc1csc(-c2ncccn2)n1)n1cccn1,0.744,-7.567
sample30,C[C@@H]1CNC(=O)[C@H](c2nc(C3(c4ccncc4)CCC3)no2)C1,0.939,-8.288
sample31,COC(=O)c1ccc(C#N)c(N[C@@]2(C(=O)N[C@@H](C(=O)O)[C@@H](C)C3CC3)CC2(F)F)c1,0.549,-8.722
sample32,Cc1c(N2CCC(CN(C)C3CC3)CC2)ccnc1-c1noc([C@H]2OCC[C@H]2C)n1,0.715,-8.546
sample33,Cc1nc(CN[C@@H]2CCOC[C@@H]2C)c(Nc2onc(C)c2Br)[nH]1,0.735,-7.674
sample34,Cc1ccc(NC(=O)[C@H](C)C(C)(F)F)c(F)c1N1CCC[C@@]12CCOC2,0.867,-8.142
sample35,CCc1cccc(C)c1NC(=O)[C@@H]1CCN(C(=O)[C@@]23CC[C@@H]2C3)[C@@H]1C,0.911,-8.565
sample36,Cc1nc(OC2=C(N[C@H](C)[C@H](O)c3ccccc3)[C@H](O)OC2=O)oc1C,0.664,-8.225
sample37,C[C@H]1CCCN1C[C@H]1CCCN1c1ccc(N)c(Oc2nc(=O)n(C)[nH]2)n1,0.814,-8.282
sample38,CC[C@@H]1c2ccc(C)n2CCN1c1ccc([C@H](CO)Oc2cc(C)n(C)n2)cn1,0.693,-8.396
sample39,Cc1nc(O)nc(C)c1N(C(=O)[C@@H]1C[C@H](C)N1)[C@@H]1CC[C@@H]1C(N)=O,0.721,-7.787
sample40,CC(=O)Nc1cccnc1NC[C@]1(C(=O)N[C@@H]2C[C@H]3C[C@H]2C3(C)C)CC1(C)C,0.702,-8.479
sample41,Cc1cnsc1C(=O)NCC1(NC(=O)C[C@H]2CCCN2)CCCCC1,0.722,-7.766
sample42,CCN1CC[C@H](C)[C@@H]1C(=O)N(C)Cc1ccc(N[C@H]2CCO[C@@H](C)C2)c(F)c1,0.806,-8.239
sample43,CCc1cc(C)ccc1Oc1ccncc1NC(=O)C1(N)CCC1,0.881,-8.268
sample44,C[C@H]1Cc2c(NC(=O)c3cc(F)ccn3)ccc(F)c2O1,0.925,-8.381
sample45,O=C1N[C@H](c2nc(-c3ccccc3COc3ccc(O)nc3)no2)CO1,0.715,-8.676
sample46,Cc1ccc(C(=O)N[C@H](C[C@@H]2C[C@H]2N)C(=O)N[C@H](CO)c2cccc(F)c2)s1,0.538,-8.517
sample47,CC[C@@H]1c2cccn2CCN1c1ccn(CCC#N)n1,0.857,-7.044
sample48,C[C@H]1CCN(c2ccnc(Cl)c2NC(=O)c2ccncn2)C[C@@H]1C,0.864,-7.925
sample49,Cc1ccc(N2CCC[C@H]2CC(=O)N[C@H](C)Cc2ccccc2F)c(O)n1,0.817,-8.562
sample50,Cc1cnc(F)c(N2CCCO[C@H]3CCCC[C@H]32)c1,0.729,-7.369
sample51,N=c1cc(N(CC[C@H]2COCCN2)c2cccc(O)c2)cc[nH]1,0.677,-7.947
sample52,COC(=O)[C@@H]1CN(C(=O)C2CC(NC[C@@H](OC)c3cccc(F)c3)C2)[C@@H]1C,0.734,-8.252
sample53,Cc1ccc(F)c(NC2CCCC[C@H]2Cl)c1N1CCC[C@](C)(C#N)C1,0.747,-8.218
sample54,CON(C[C@H]1COC(=O)O1)[C@H](C)c1cccs1,0.598,-6.326
sample55,Cc1cc(O)cc(N2CCN(CCNc3c(F)ccnc3F)[C@H](C)C2)n1,0.796,-8.081
sample56,CO[C@@H]1CN(C(=O)N[C@H](C)c2ccc(OCc3cnn(C(F)(F)F)c3)nc2)C[C@H]1OC,0.707,-8.256
sample57,CCc1ccc(N(CC)CC(=O)N2CCN(c3ncc(Cl)cn3)CC2)c(N)n1,0.786,-8.065
sample58,CC(=O)N1CC[C@H](C(=O)NS(=O)(=O)c2ccnn2C)C1,0.779,-7.069
sample59,CC(N[C@@](C)(C(=O)Nc1cc(Cl)cc(CO)c1)C1COC1)C1CCCC1,0.678,-8.127
sample60,C[C@H]1COC[C@H](C)N1CC(=O)N(C)Cc1ncccn1,0.805,-6.738
sample61,CCc1cccnc1NC(=O)c1ccnc(O[C@H]2CNC[C@H](C)C2)c1F,0.860,-8.334
sample62,C[C@@H]1CCN1C(=O)C1(c2nc(-c3ccccc3CO[C@H]3C[C@]3(C)C(N)=O)no2)CC1,0.749,-9.180
