,SMILES,QED,Proxy
sample0,Cc1cncnc1CNC(=O)[C@H]1CCC[C@H](NC(=O)c2ccc(F)c(F)c2F)C1,0.748,-8.848
sample1,C[C@@H]1[C@H](C)C[C@H]1N(c1cccc(C(=O)N(C)[C@H](C)[C@H]2Cc3ccccc32)c1F)[C@@H](C)C(=O)O,0.646,-8.913
sample2,CO[C@@H](C)c1ccc(CCNc2ccc(C(=O)N3CC(C)(C)CC[C@H]3CO)cc2O)cc1,0.531,-8.833
sample3,C[C@H](O)c1cccc(N2CCN(Cc3cccnc3)C2=CC(=O)C2CC2)n1,0.795,-8.318
sample4,COC(=O)c1ccncc1N1CCN(c2cnn(CCC#N)c2)c2ccccc21,0.620,-8.347
sample5,C#C[C@@H]1C[C@]1(Nc1ccccc1[C@@H](N)C#N)c1nc(-c2ccc(C)nc2)no1,0.664,-8.769
sample6,Cc1cccc2c(=O)n(C(=O)c3ccc(Cl)cc3)c(=O)[nH]c12,0.749,-8.641
sample7,N#Cc1ccc(F)cc1-c1c(F)cccc1NC(=O)C1(C(N)=O)CC1,0.837,-8.756
sample8,CCOC(=O)c1cc(OC[C@H]2CCOC[C@@H]2N)c(Oc2ccccc2CC#N)[nH]1,0.655,-8.334
sample9,CN(C)C(=O)O,0.461,-4.593
sample10,C[C@H](NC(=O)c1cccnc1Nc1ccc(Br)c(F)c1C#N)C1(O)COC1,0.666,-8.319
sample11,CC[C@H]1C[C@]1(N)C(=O)N1Cc2ccc(N[C@H]3C[C@H](c4cccc(C)c4)C3)cc2C2(CC2)C1,0.714,-9.727
sample12,COC(=O)[C@@H](N)C(C)N[C@H](C)c1cccc(-c2ccccn2)c1,0.800,-8.054
sample13,Cc1ccc(CN[C@H]2C[C@@H](C(=O)N[C@@H]3c4ccccc4C[C@@H]3C)C2)o1,0.877,-8.791
sample14,C[C@@H]1[C@H](C)C[C@H]1N[C@@H](C)c1nc(-c2c(O)cccc2N[C@H]2CCC[C@H]2c2ccccn2)no1,0.453,-9.225
sample15,C[C@@H]1[C@H](C(=O)N2C[C@H](C)Oc3c(F)cccc32)CN1c1ccc(Br)nn1,0.747,-8.425
sample16,Cc1ccc2c(=O)n([C@H](CF)CCC(=O)N3C[C@H](C)C[C@@H]3c3cccnc3)c(=O)[nH]c2n1,0.636,-8.879
sample17,C[C@@H]1[C@H](C(=O)N[C@@H]2CCOc3ccccc3C2)CN1C(=O)c1ccccc1,0.911,-8.975
sample18,CC[C@@H]1CC[C@@H]1N(CC[C@H]1CCCN(c2cnc(OC)c(C)c2)C1)c1ccc(OCC#N)cn1,0.491,-8.610
sample19,COc1cc(C)c(N)cc1N[C@@H](CSC)c1nc([C@@H]2CC(=O)OC2(C)C)no1,0.528,-8.143
sample20,CCOc1cccc2c1C(N1CCOC[C@@H]1C(=O)N1CCc3cccc(F)c3C1)CC2,0.754,-9.351
sample21,Cc1cccc2c1CCC[C@H]2NC(=O)[C@H](NC12CCC(C(=O)O)(C1)C2)c1ccccc1,0.656,-9.626
sample22,Cc1cc(N(C[C@H]2C[C@@H]2C)[C@H]2C[C@H](C(=O)N(C)c3cccccc3=O)C2)cc(F)n1,0.681,-8.915
sample23,Cc1cc(N2C[C@@H](C(=O)N[C@@H]3[C@H]4CCc5ccccc5[C@H]43)[C@H]2C)cc(F)n1,0.850,-9.329
sample24,C[C@@H]1[C@H](C(=O)N[C@H](C)c2ccccc2)CN1c1ccc2c(n1)CNC2,0.900,-8.808
sample25,CN(C(=O)c1cc2ccnc(N[C@@H]3Cc4cccnc4C3)c2[nH]1)C(C1CC1)C1CC1,0.659,-9.168
sample26,CC(=O)Nc1ccc(NC[C@H](NC(=O)NCc2cc3c(cc2Cl)OCO3)C2CCC2)cc1,0.477,-8.912
sample27,C[C@@H](Oc1cscc1-c1c(F)c(=O)ccn1C)c1ncc(O)cn1,0.785,-7.706
sample28,CC[C@H](Oc1ccc(F)c(C(=O)NC[C@@H](O)[C@@H]2CCOC2)c1F)c1ccncc1,0.705,-8.607
sample29,Cc1cc(Oc2ccc3c(c2)OCCN3C(=O)[C@@H]2CN[C@H]2C)cc2c1C(=O)OC2,0.807,-9.105
sample30,Cc1cc(N(CC(=O)O)[C@@H]2C[C@@H](NC(=O)N3C[C@H](C)OC34CCCCC4)C2(C)C)ccn1,0.721,-8.585
sample31,COc1cc([C@H](C)N(C(=O)[C@H]2C[C@@H]2C#N)C(C)(C(=O)O)c2ccccc2)sn1,0.767,-8.165
sample32,Cc1cccc([C@H]2C[C@H](Nc3cccc4c3CN(C3=C(O)OC(=O)[C@@H]3Cl)C4)C2)c1,0.571,-9.383
sample33,C#C[C@H]1C[C@@]1(Nc1c(C)ccnc1F)C(=O)Nc1cccc(CF)c1,0.647,-8.455
sample34,Cc1ccnc(C(=O)N2C[C@@H](C(=O)N3CCc4c(C)cccc43)[C@H]2C)c1,0.838,-8.814
sample35,COCc1ccc(N(C)[C@H](C(=O)Nc2ccc(F)c(C)c2C)C2CCC2)nn1,0.787,-8.566
sample36,N#Cc1ccc(N2C[C@@H]3CCC[C@@]3(C(=O)N3CCC[C@H]3c3cccc(F)c3)C2)c(F)c1,0.715,-9.475
sample37,Cc1ccc(C)c(C(=O)N2C[C@@H](C(=O)Nc3cc4c(cc3F)OCO4)[C@H]2C)c1,0.882,-9.149
sample38,Cc1nccc(-c2nnc([C@@H]3CCO[C@H]3CNc3ccc(CCl)c(N)n3)o2)n1,0.599,-8.818
sample39,N#Cc1cccc2c1N(C(=O)[C@@H]1C[C@@H](C(=O)O)N(C(=O)c3cccc(O)c3)C1)CC2,0.803,-9.046
sample40,CCC(C(=O)O)(c1ccccc1)N(C(=O)[C@H]1CCO1)[C@@H]1[C@H]2CCc3ccccc3[C@H]21,0.795,-9.440
