,SMILES,QED,Proxy
sample0,COc1cc(CNc2ccc(F)c(-c3nc(Cc4cccc(C(=O)OC(C)C)c4)no3)c2)c2ccccc2n1,0.227,-9.927
sample1,N#C[C@@H]1C[C@H]1S(=O)(=O)c1ccc(Sc2cccc(-c3nccc(C(N)=O)n3)c2O)cc1,0.580,-9.137
sample2,Cc1nc(C)c(CNC(=O)C2C(N3Cc4ccccc4[C@H]3C(=O)CCl)CCCN2C)[nH]1,0.670,-8.879
sample3,CN1CC[C@H](CNC(=O)Nc2cc(F)c(NC(=O)N[C@H](c3ccc(Cl)cc3)c3ccn(C)n3)cc2Cl)[C@H]1c1cccnc1,0.192,-7.878
sample4,C=CCn1cnc(C)c1C(=O)N1Cc2ccc(Oc3cc(N)c(C)cc3O)cc2[C@@H](O)C1,0.322,-9.216
sample5,Cc1cc(NC(=O)N(C)c2cccc3[nH]ncc23)c(N)cc1Oc1nc(Br)ccc1Cl,0.244,-9.177
sample6,O=C(Nc1cc(F)c(F)cc1Cl)[C@H](Nc1cccn2nc(Br)nc12)[C@@H](O)c1cccnc1,0.330,-9.209
sample7,COC(=O)c1cc(-c2noc([C@@H]3C[C@H]3CNC(=O)Nc3ccc4nc[nH]c4c3)n2)c[nH]1,0.349,-9.112
sample8,Cc1c(Nc2ncc(CNC(=O)C(=O)NCC(C3CC3)C3CC3)cc2Br)ccc(N)c1Cl,0.306,-8.767
sample9,C#Cc1cnccc1S(=O)(=O)CCN(C(=O)NCc1ccccc1)C(C)(C(=O)O)c1ccccc1F,0.428,-8.658
sample10,COC[C@H](O)CN(CCC(C)(C)C)c1cc(Oc2c(F)cc(F)cc2C(=O)O)ccc1OCC(=O)O,0.363,-8.021
sample11,CC(=Cc1ncc(Br)cc1Sc1c(C(N)=O)nn(C)c1C)C(=O)NCc1ccccc1,0.480,-8.618
sample12,O=C(Nc1cccc(-c2nc[nH]n2)c1)Nc1cnc2ccc(OCc3nc4cccc(O)c4[nH]3)cn12,0.241,-9.632
sample13,COc1cc(F)ccc1NC(=O)Nc1c(F)cc(Sc2ccc(C=NOC(C)C)nc2)cc1C=O,0.221,-9.039
sample14,Cc1nc2ccc(C(=O)N3CCOc4cnccc43)cc2n1C,0.692,-8.201
sample15,O=c1cc(O)c2ccc(Oc3nc4ccc(SCn5ncc6ccccc65)cc4o3)cc2o1,0.266,-9.963
sample16,CCS(=O)(=O)[C@@H]1C[C@@]1(NC(=O)N(CCF)[C@H]1CCC[C@@H]2C[C@@H]21)C(=O)Nc1cn([C@H](C)C#N)nn1,0.526,-8.657
sample17,Cc1cc2oc([C@@H](N)[C@H](F)c3nc(-c4cc(F)c(Cl)c(F)c4)no3)nc2cc1Cl,0.420,-9.476
sample18,COC(=O)c1nn(C)cc1Sc1cnc(C(N)=O)c(O[C@@H]2CCCC[C@H]2C#N)c1,0.711,-8.396
sample19,C[C@@H]1CC(=O)Nc2ccc(-c3nc(-c4ccc(CNc5cc(O)cc(C(=O)O)c5)cn4)no3)cc2N1,0.270,-9.812
sample20,O=C(Nc1ccnc(Br)c1)C(=O)Nc1cc(F)cc(O[C@@H]2CCc3c(F)cccc32)c1O,0.277,-9.297
sample21,Cc1cc(-c2nc(-c3ccc4nc(Oc5ccc(S(C)(=O)=O)c(F)c5)[nH]c4c3)no2)cnc1F,0.364,-9.826
sample22,Cc1cc(O)cc(-c2nc3cc(S(=O)(=O)c4ccc(N)c(CO)c4)cnc3s2)c1,0.427,-9.263
sample23,Cc1nc(Oc2c(C#N)cnc3sccc23)cc(N)c1Oc1nc(C(F)(F)F)co1,0.475,-8.965
sample24,COc1cc(F)c(C)cc1NC(=O)Nc1ccnnc1NCc1ccnc(O)c1,0.503,-8.658
