,SMILES,QED,Proxy
sample0,N[C@H]1COc2c1cccc2N1CCc2ccc(NC(=O)[C@@H]3C[C@H]4CC[C@@H]3N4)cc2C1,0.733,-9.438
sample1,Fc1ccc2c(c1)CC[C@@H](Oc1ccc3c(c1)CN(C1CC[C@H]4CNC[C@H]14)CC3)C2,0.830,-9.960
sample2,Cc1cc(Br)c(-c2nc([C@@]3(C)CCC(=O)C3)no2)cn1,0.842,-7.836
sample3,Cc1cccc2c1CCC[C@H]2NC(=O)C1[C@H]2CN([C@H]3CCN[C@H]4CCCC[C@H]43)C[C@H]12,0.805,-9.269
sample4,C[C@H]1c2ccccc2C[C@H]1NC1[C@@H]2C[C@H]1CN(C(=O)c1ccncc1Br)C2,0.816,-8.982
sample5,N#C[C@H](N)c1ccccc1O[C@@H]1Cc2ccc(N3C[C@H]4[C@@H]5COC[C@H]5[C@@H]4C3)cc2C1,0.852,-9.387
sample6,N#Cc1cccc(O[C@@H]2[C@H]3C[C@H](C[C@H]3C#N)[C@H]2Oc2ccc3c(c2F)CCNC3)c1F,0.811,-9.759
sample7,N#Cc1cccc2c1CCN2C(=O)NCc1cc(F)cc(O[C@@H]2[C@@H]3C[C@@H]4[C@@H]5C[C@H]3[C@H]([C@@H]5O)[C@@H]42)c1,0.732,-9.944
sample8,N[C@@H]1Cc2ccc(C(=O)N3CCc4cccc(NC(=O)[C@@H]5[C@H]6CCC(=O)[C@@H]65)c4C3)cc2C1,0.784,-9.925
sample9,Cc1cccc2c1[C@@H](NC1[C@H]3[C@@H]4[C@@H]5[C@@H]6[C@@H]4[C@]1(N1CCc4c(F)ccc(F)c4C1)[C@@H]6[C@@H]35)CC2,0.777,-10.373
sample10,O=C([C@@H]1[C@@H]2[C@H]1[C@H]1C=C[C@H]2C1)N([C@@H]1[C@@H]2Cc3cc(F)ccc3[C@@H]21)C1(C(=O)O)C2C[C@H]3C1[C@@H]3C2,0.743,-10.028
sample11,O=C(N[C@H]1c2ccccc2C[C@H]1N[C@@H]1Cc2ccccc2[C@@H]1O)C1[C@H]2CNC[C@@H]12,0.639,-9.581
sample12,Oc1cc(O)cc(-c2noc([C@@H]3[C@H]4[C@H]5C[C@@H]3C(NC36CCC(CC3)C6)[C@H]54)n2)c1,0.754,-9.600
sample13,Cc1ccc2c(c1)NCCC2N1CCc2c(F)cc(O[C@H]3C4[C@@H]5[C@@H]6C3[C@H]3[C@@H]4[C@@H]3[C@H]56)cc2C1,0.761,-10.276
sample14,Cc1cc(F)c2c(c1)CCN(C(=O)[C@H]1[C@H]3CC[C@H]1N(C1COCc4cccc(F)c41)C3)C2,0.707,-9.916
sample15,O=Cc1ccc2c(c1)CCN(C(=O)C13CCC(NC4C5[C@@H]6C7C8[C@H]5[C@H]8C4[C@@H]76)(C1)C3)C2,0.791,-9.890
sample16,C[C@H]1Cc2ccc(O[C@H]3C4[C@@H]5[C@@H]6C3[C@H]3[C@@H]4[C@@H]3[C@H]56)cc2CN1c1ccc2c(c1)NC(=O)C2,0.835,-10.206
sample17,O=C(O)[C@@H]1C[C@H]2C[C@@H]1[C@H](Nc1ccc3c(c1)CC(N[C@@H]1[C@@H]4Cc5cc(F)ccc5[C@@H]41)CO3)C2,0.646,-10.087
sample18,CC(=O)c1ccc2c(c1)CN(c1ccc(C(=O)N[C@H]3CC[C@H]4CO[C@@H]3O4)cn1)CC2,0.785,-9.619
sample19,O=C(c1ccnc(F)c1)N(c1ccc2c(c1)NC(=O)C21CC1)[C@@H]1C[C@H]2C[C@H]1[C@H]1C[C@H]21,0.791,-9.658
sample20,CC(c1ccc2c(c1)CN(C(=O)[C@]13CC[C@H](CN1)C3)CC2)N1Cc2ccccc2C1,0.850,-9.811
sample21,N[C@@H]1Cc2ccc(C(=O)NC34CCC(C(=O)N[C@H]5CNCc6ccccc65)(C3)C4)cc2C1,0.597,-10.035
sample22,COc1ccc2c(c1)C(N1CCN(C3C4[C@H]5C6C7[C@H]4[C@@H]7C3[C@@H]65)c3nonc31)C2,0.822,-9.650
sample23,O=C([C@@H]1[C@@H]2CN(c3cccc4c3CNC4)C[C@@H]21)N1C[C@H]2CCC[C@@H](C2)C1,0.890,-9.063
