Unnamed: 0,SMILES,DS,Method,Valid,In_Top100,QED,Veber,Lipinski,CP,MB,SA,Ghose,1-EI,KI_Tanimoto_Similarity,KI_ChemNet_Distance
356,CC[C@@H]1CN(CCC(=O)Oc2ccc(C)cc2)[C@H]2C3=C1CC=C(F)C3=C1C=C(C(C)=O)C(O)=C[C@@H]12,-10.241,TargetDiff,1,True,0.4376958807047058,2.0,4.0,0.8429964780807495,0.7492063492063492,0.594645897375185,3.0,0.9987562290326484,0.10062893081761,6.784534
357,C[C@@]1(N[C@@H](O)[C@@H](O)c2ccc(O)cc2)c2cnc(N(O)O)cc2-c2ccc(Cl)cc21,-9.656,TargetDiff,1,True,0.2695855887484623,2.0,4.0,0.8044919967651367,0.6674841269841271,0.6386431151922064,4.0,0.941145242283697,0.116504854368932,7.154142
358,Cc1ccc(NC(=O)N(O)[C@H](C)[C@H]2C3=CC(OC(=O)O)=CC[C@@H]3c3ccccc32)cc1,-9.616,TargetDiff,1,True,0.3495652918226421,2.0,4.0,0.6701211333274841,0.7084206349206349,0.6610088382754788,4.0,0.9700918907250432,0.1133333333333333,6.174851
359,COc1ccc2c(c1)c(S(N)(O)O)cc1ccccc12,-9.182,TargetDiff,1,True,0.6235510888601851,2.0,5.0,0.7038285136222839,0.7066031746031746,0.8568326466659085,4.0,0.2150579880328654,0.1290322580645161,6.848909
360,OCC(=C=C1CCC(CN2C3=C(CCC3)N=C3C=C(N(O)O)C=CC32)CN1)[C@@H]1CCO1,-9.011,TargetDiff,1,True,0.3950876121825892,2.0,5.0,0.6436989903450012,0.5824235209235209,0.5042947381950093,4.0,0.9020516865242054,0.0633802816901408,6.787588
361,N=C1[C@@H](O)CCN1[C@@]1(O)N=C2CCCC2c2cc(C(=O)O)ccc21,-8.904,TargetDiff,1,True,0.6513443176012369,2.0,5.0,0.9450743198394777,0.6334603174603175,0.615765209616427,4.0,0.9857404354847924,0.109090909090909,7.127784
362,O=C(O)CC(O)CC1CC2C3=CCC[C@@H]4CCN(C=CC(=O)NC5CCCCC5)C(=C2S1)[C@H]34,-8.775,TargetDiff,1,True,0.3804666314818522,2.0,5.0,0.6851505637168884,0.6157535014005603,0.5583118552206289,4.0,0.9830568847701636,0.0783132530120482,6.329287
363,CCC(O)=C=CCCC1=C2C(C)=CC3=C(CCN3)C2[C@@H](CNC(=O)O)N1,-8.724,TargetDiff,1,True,0.3720115177633425,2.0,5.0,0.7913407683372498,0.7217900432900433,0.5524855035472837,4.0,0.8910580886558768,0.0826446280991735,6.5267935
364,C[C@H]1CC=CC2=C3CC(O)(O)CC3=C[C@H](CN)CCC21,-8.636,TargetDiff,1,True,0.643103141815745,2.0,5.0,0.4945083260536194,0.8305238095238094,0.5711407249231453,4.0,0.9660162053749756,0.086021505376344,6.454083
365,CC[C@H](O)COC(=S)N=CC1=C2C=CC=CC2C=C(Cl)C1=C=CN(O)O,-8.622,TargetDiff,1,True,0.2865307402229932,2.0,5.0,0.9474098086357116,0.7801825396825397,0.5202122568548588,4.0,0.9559781059850978,0.0803571428571428,6.507124
