Unnamed: 0,SMILES,DS,Method,Valid,In_Top100,QED,Veber,Lipinski,CP,MB,SA,Ghose,1-EI,KI_Tanimoto_Similarity,KI_ChemNet_Distance
3426,C[C@@H](CCC1=CCCCC1)[C@H](O)C(=O)NC1=C[C@@H](Cl)C(OCl)C(CC2=CCC(F)(F)C(O)=C2)=C1,-9.661,TargetDiff(D),1,True,0.2529074328786135,2.0,3.0,0.9269713759422302,0.8967142857142857,0.5159811290891552,2.0,0.993950677938478,0.0869565217391304,6.7002063
3427,O=C(O)OC1C=CC=C(C2=CC(ONC(=O)[C@@H]3NC(=O)[C@H](O)[C@@H]3O)=CC=CC2)C=C1,-8.91,TargetDiff(D),1,True,0.3131949622683202,1.0,5.0,0.9943481087684632,0.7999365079365082,0.5229071336684814,4.0,0.9037627620201824,0.0833333333333333,6.336626
3428,C=C(C[C@@H]1C(=O)Nc2ccc(CCC(=O)O)cc21)NC=C1C=CC[C@H](C(N)C(=O)N2C[C@@H]([C@@H](C)CO)O[C@@H](C)C2)C=N1,-8.855,TargetDiff(D),1,True,0.2662687053687653,0.0,3.0,0.4692878127098083,0.6142900432900433,0.5256932257426903,2.0,0.9905246180358652,0.1111111111111111,6.088113
3429,CCC[C@@H](C)[C@H]1CC[C@H]([C@](C)(O)C2C=C(CC(O)(O)O)c3ccccc3C2)CC1,-8.625,TargetDiff(D),1,True,0.51393197557716,2.0,5.0,0.4886907935142517,0.868174603174603,0.6358179160369293,4.0,0.9004113880618756,0.0916666666666666,6.7842813
3430,COC1=C(C(=O)O)C=C([C@@H](O)[C@H](O)CO[C@H]2O[C@@H](N(O)C(=O)O)c3c(C)c(C)cc(N)c32)CC1,-8.545,TargetDiff(D),1,True,0.1802365846302867,1.0,4.0,0.9456661343574524,0.7934841269841271,0.5377441063737365,3.0,0.998438305816588,0.0986842105263157,6.3215623
3431,CC[C@H]1C[C@@H](C(CO)[C@@H](N)CC(=O)O)C=C(C(=O)O)[C@H]1C1=CC=CC(C)C=C1,-8.368,TargetDiff(D),1,True,0.5064678938941456,2.0,5.0,0.4342112243175506,0.852468253968254,0.545855873496827,4.0,0.9478860044967592,0.0854700854700854,6.084492
3432,CC(=O)[C@H](CC1=CC2=C(CC2)CC(O)=C1)C[C@H]1[C@H](O)[C@@H](CC(=O)O)[C@H](O)[C@H]1CO,-8.291,TargetDiff(D),1,True,0.4152315800441221,2.0,5.0,0.9644970297813416,0.8163809523809522,0.5226180799196611,4.0,0.9862535779670112,0.0821917808219178,6.852049
3433,O=C(CO)CNC(=O)[C@@H]1C=C(C(=O)O)[C@H](F)C=C1C1C=CC=CC=C1,-8.264,TargetDiff(D),1,True,0.6186766666074004,2.0,5.0,0.9940782785415648,0.830357142857143,0.6017812266552373,4.0,0.945703185353078,0.081081081081081,6.067659
3434,C[C@@H](O)C(O)=C1OC2=C[C@H](O)CC(O)=C2C[C@@H]1C[C@@]1(C)CO[C@H]1O,-8.2,TargetDiff(D),1,True,0.4923360505773281,2.0,5.0,0.994617521762848,0.7969841269841269,0.4900099563023762,4.0,0.969294994312208,0.0727272727272727,7.2195277
3435,CCC1=CC([C@@H](C(=O)O)[C@@H](C)C[C@@H]2OCC[C@@H]2O)=C[C@H](CC(N)=O)[C@H]1Cl,-8.163,TargetDiff(D),1,True,0.5548374389095408,2.0,5.0,0.6970700621604919,0.8587777777777776,0.5470980017301714,4.0,0.9881747199307996,0.0973451327433628,6.4192696
3436,C[C@H](C[C@H](N)C(=O)O)[C@@]1(C)CC2=CCCC3=C2[C@H](C1)[C@H](CO)C3,-8.121,TargetDiff(D),1,True,0.7273589191350228,2.0,5.0,0.4295389950275421,0.9083492063492064,0.5652156570342394,4.0,0.995025174144182,0.0892857142857142,6.7685575
3437,CC[C@H](C)[C@H](O)CONC(=O)C=C(N)C(C)C1=CC([C@H]2CCN(Cl)C2)=CCC=C1,-8.102,TargetDiff(D),1,True,0.300872438650851,2.0,5.0,0.822096586227417,0.6716349206349206,0.5358319524972285,4.0,0.992299481466404,0.1103896103896103,6.051262
3438,CC1=CC=C(N(O)O)C=C2C=C3[C@@H](C[C@@H](O)C3(C)C)[C@]3(O)C[C@@H](C)C[C@@H]3C12,-8.085,TargetDiff(D),1,True,0.5281795760931058,2.0,5.0,0.6019572019577026,0.7523333333333331,0.5001117945951274,4.0,0.905543991599954,0.056,7.7002006
3439,CC1C=C(Cl)C(Cl)=CC2=C1[C@@H](O)[C@H](NC(=O)[C@H]1C=CCC=C1O)[C@@H](O)[C@H]2O,-8.07,TargetDiff(D),1,True,0.4428138676850144,2.0,5.0,0.9966375827789308,0.8193333333333334,0.5005200137732096,4.0,0.9725046755511128,0.0884955752212389,6.7175317
3440,CCC(=O)N1Sc2cc(F)c(O)c3c2[C@H]1CC(O)(O)C3,-8.07,TargetDiff(D),1,True,0.540148949038438,2.0,5.0,0.9954469799995422,0.7489901536372127,0.6299357954811367,4.0,0.989859503875396,0.0990990990990991,7.198777
3441,COc1cc2c(cc1OC[C@H](O)[C@@H](O)[C@H](C)O)CCCCCC2,-8.069,TargetDiff(D),1,True,0.7439514140580122,2.0,5.0,0.9003298282623291,0.8464761904761903,0.7540244122430501,4.0,0.7979056348644458,0.112,7.6097035
3442,O=C1NO[C@H](CN[C@@H](CC2=CC(Cl)=CCC2=C2C=CC=CC=C2)C(=O)O)NO1,-8.005,TargetDiff(D),1,True,0.5367120351569574,2.0,5.0,0.6575430631637573,0.8241831501831501,0.5567419173883031,4.0,0.996219013994323,0.1008403361344537,7.1918607
3443,C[C@H](c1cc(OC[C@H](O)CO)ccc1O)[C@@H]1CC2=C([C@H](F)[C@@H](O)C2)N1C(=O)CCC(=O)O,-7.984,TargetDiff(D),1,True,0.3727196808679879,1.0,5.0,0.9456661343574524,0.7712441218911807,0.6022964545878191,4.0,0.9490255850639854,0.1290322580645161,6.8870397
3444,CCCc1cccc(C(=CN(C)O)[C@@H](O)C[C@H](O)C[C@@H]2CC[C@@H](C)COC2)c1,-7.934,TargetDiff(D),1,True,0.5575194882763475,2.0,5.0,0.7594765424728394,0.7156248196248195,0.6368998316485086,4.0,0.9638961333958884,0.0986842105263157,6.969574
3445,CCC(O)=C=C1CCC(C)(C)CC[C@H](C)CC[C@@H]2CC[C@H](O)[C@H]2CC(=O)O1,-7.911,TargetDiff(D),1,True,0.350977787199998,2.0,4.0,0.0033055816311389,0.864047619047619,0.560222571576787,3.0,0.881353152990383,0.0629921259842519,7.2738514
3446,CCOC(=O)C=CN1C(CNCO)=CC2=CC=C[C@H](C)[C@@H]2[C@H]1C,-7.903,TargetDiff(D),1,True,0.4451323367062446,2.0,5.0,0.5577829480171204,0.7098116883116883,0.5868537391661268,4.0,0.9249987460118853,0.1048951048951049,6.214211
3447,C[C@@H](O)C[C@](C)(O)CCc1cc([C@@H](O)C(=O)O)c(Cl)c2c1CC[C@@H]2C,-7.892,TargetDiff(D),1,True,0.5911845874732237,2.0,5.0,0.7695668935775757,0.8737777777777777,0.6285874998975979,4.0,0.9882789270046184,0.0943396226415094,6.850564
3448,CCC1=CC2=C([C@H](C)C(=O)O)[C@@H](O)[C@H](C(C)=O)[C@H](O)C2=CC1,-7.868,TargetDiff(D),1,True,0.7332729462437358,2.0,5.0,0.9932063817977904,0.8201428571428572,0.5850045541046833,4.0,0.5771502481713258,0.0984848484848484,7.125677
3449,CCOC[C@H]1S[C@H](C(=O)O)C[C@H]1CC(O)C1C2=C(C=CC1OC)C[C@H]1C=CCC[C@@H]21,-7.851,TargetDiff(D),1,True,0.5656482332745278,2.0,5.0,0.0093654720112681,0.8485396825396825,0.4940439773134371,4.0,0.9895439532163824,0.0797101449275362,6.6495633
3450,C[C@H]1C2C=CCC=CC2=C(CNC(N)=O)N2CO[C@@H](CC[PH](O)(O)O)[C@@H](O)[C@@]12O,-7.766,TargetDiff(D),1,True,0.220548864278712,1.0,4.0,0.9969465136528016,0.7521688311688312,0.4559119384996387,3.0,0.9879073111191778,0.0909090909090909,6.9367614
3451,CC[C@H](C)C(=O)n1cc2c(OC)cc([C@](C)(O)CO)c(C)c2cc1=O,-7.719,TargetDiff(D),1,True,0.8655324602916734,2.0,5.0,0.0549242086708545,0.6891652236652236,0.6748360254796013,4.0,0.9800925042828444,0.125,6.3594675
3452,CC1(C)CC[C@](N)(C=C[C@@H](O)[C@@H](O)C2=CC=CC(Cl)C=C2)COC1,-7.716,TargetDiff(D),1,True,0.535767380516257,2.0,5.0,0.5754826664924622,0.8513549783549784,0.5249069527357385,4.0,0.9570336632259252,0.0603448275862069,6.203045
3453,O=C(O)CNC(=O)[C@@H](OCc1nc2ccccc2cc1NC(=O)O)[C@H](O)CO,-7.708,TargetDiff(D),1,True,0.3353353187921799,1.0,4.0,0.9722728729248048,0.4715752907223496,0.7268612930126788,4.0,0.9868493713477944,0.158273381294964,5.268953
3454,C[C@@H]1C=CC2C(C(=O)OO)=C(F)C[C@H](O)[C@@]2(O)C=C1Cl,-7.637,TargetDiff(D),1,True,0.3895522524763559,2.0,5.0,0.9920085668563844,0.8430476190476189,0.5374018114560132,4.0,0.4590255328250354,0.1037735849056603,7.1121707
3455,Cc1cc(C2=CC(O)[C@H](O)C(NC[C@@H](OCCC(C)C)[C@@H](O)[C@@H](O)CO)=C2)ccn1,-7.631,TargetDiff(D),1,True,0.296206437513641,1.0,3.0,0.976630687713623,0.6878499278499279,0.5935771143980436,4.0,0.9950851353846396,0.1266666666666666,6.581116
3456,CC[C@H](O)C=C[C@H](O)[C@@H](O)[C@@H](Cl)C1=C[C@@H](C)C(O)=CC1=CCC(=O)O,-7.559,TargetDiff(D),1,True,0.32856467041987,2.0,5.0,0.8187450766563416,0.8555714285714285,0.5332074014380566,4.0,0.5998192229471938,0.0769230769230769,7.011124
3457,CC(O)=C=C1CC=CCC1=C=C(Cl)C(=O)O,-7.535,TargetDiff(D),1,True,0.3195026257918253,2.0,5.0,0.131605327129364,0.8453253968253966,0.6021113500855262,3.0,0.1252111897297213,0.0769230769230769,6.6311975
3458,CCOC1C=C[C@H](NC=C(O)[C@@H]2N[C@@H]3C[C@@]4(O)C[C@@H](O)[C@]32[C@H]4O)C(NC(=O)NCN)=C1,-7.505,TargetDiff(D),1,True,0.1236341581958549,1.0,4.0,0.9889571070671082,0.7388379169849757,0.3111523076094777,3.0,0.994153951648966,0.1045751633986928,6.222808
3459,CC1C=CC([C@@H](O)[C@@H](C)O)C=C([C@H]2O[C@@H](O)[C@@H](O)C[C@H]2O)[C@@H]1O,-7.475,TargetDiff(D),1,True,0.3534031326086891,2.0,4.0,0.9887332916259766,0.8293809523809524,0.5180643912052332,3.0,0.4311314304770078,0.072072072072072,7.237651
3460,CCC(O)[C@@H](COC1=C(C(=O)OOC)C=CC(=C(C)C)C=C1)N[C@](C)(O)[C@H](O)C[C@@H](C)O,-7.446,TargetDiff(D),1,True,0.1678705342295831,1.0,4.0,0.956760048866272,0.8242063492063493,0.5292110268039733,4.0,0.9940765240357382,0.1241379310344827,6.6570463
3461,O=C(O)[C@H](N[C@@H]1[C@@H](O)[C@H](O)C[C@H]1O)c1cccc(F)c1,-7.441,TargetDiff(D),1,True,0.5049757311668842,2.0,5.0,0.9985305070877076,0.8820873015873015,0.6855413574330974,3.0,0.8545717662647498,0.1176470588235294,7.7068434
