smiles,name,perm (cm/s),logP,doi,PMID,title,publisher,year,access,page,origin
C1=CC(=CC=C1S(=O)(=O)N)Cl,4-Chlorobenzensulfonamide,5.495408738576248e-05,-4.26,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CNS(=O)(=O)C1=CC=C(C=C1)Cl,4-Chloro-methylbenzensulfonamide,6.456542290346549e-05,-4.19,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,Acebutolol,8.709635899560814e-07,-6.06,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Acetazolamide,5.754399373371567e-07,-6.24,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CC(C)NCC(COC1=CC=CC=C1CC=C)O,Alprenolol,2.8840315031266056e-05,-4.54,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,Atenolol,6.760829753919819e-07,-6.17,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Betaxolol,2.691534803926914e-05,-4.57,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,Bevantalol,5.7543993733715664e-05,-4.24,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,Bufuralol,7.244359600749906e-05,-4.14,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
CCCCO,Butanol,7.585775750291836e-05,-4.12,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Chloramphenicol,6.760829753919819e-06,-5.17,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,Clonidine,4.3651583224016566e-05,-4.36,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,Cortexolone,3.0199517204020192e-05,-4.52,,14609285,Prediction of corneal permeability using artificial neural networks,Govi-Verlag Pharmazeutischer Verlag GmbH,2003,0,5,table 3
