compound_key,compound_names,molecule_chembl_ids,SMILES,target_chembl_id,variant,measurement_class,activity_types,activity_relation,activity_uM,log10_activity_uM,delta_G_relation,delta_G_kcal_mol,delta_G_basis,temperature_K,n_records,n_exact_records,n_censored_records,n_assays,n_documents,exact_min_uM,exact_max_uM,max_censored_lower_bound_uM,endpoint_summaries,branches,heavy_atoms,PAINS_pass,structural_ipTM_status,aggregation,assay_chembl_ids,document_chembl_ids,activity_ids,source_urls,class_from_passing_assays,broader_unflagged_ROCK2_conflict,broader_conflict_activity_ids,affinity_probability_binary2,affinity_probability_binary,affinity_pred_value1,affinity_pred_value2,affinity_pred_value,affinity_probability_binary1
52d271a3eb426ccc,,CHEMBL3689387,Brc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,CHEMBL2973,,active,IC50,=,0.586,-0.2321023839819093,=,-8.5021,IC50_energy_proxy,298.15,1,1,0,1,1,0.586,0.586,,"{""IC50"":{""median_log10_uM"":-0.23210238398190938,""max_lower_bound_uM"":null}}",hit_to_lead,24,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3705637,CHEMBL3639066,17616213,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3705637,active,False,,0.6250611543655396,0.5740112066268921,-0.005160808563232422,-0.43131759762763977,-0.2182392030954361,0.5229612588882446
81d9cff5c45d6d0b,,CHEMBL5862790,C#CC1CN(C(=O)c2cc3ccc(-c4nccc(Nc5ccc(-c6cn[nH]c6)cc5)n4)cc3n2C)C1,CHEMBL2973,,active,IC50,=,0.322,-0.4921441283041691,=,-8.8569,IC50_energy_proxy,298.15,1,1,0,1,1,0.322,0.322,,"{""IC50"":{""median_log10_uM"":-0.4921441283041691,""max_lower_bound_uM"":null}}",hit_to_lead,36,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL5738249,CHEMBL5729205,28741403,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5738249,active,False,,0.5234487056732178,0.6314244270324707,-0.12780603766441345,-0.719283938407898,-0.4235450029373169,0.7394001483917236
da47fc2a74bc8bd9,,CHEMBL6002713,C#CCC1NC(=O)N([C@H]2CC3(C[C@H](Oc4ncccc4C(N)=O)C3)C2)C1=O,CHEMBL2973,,active,IC50,=,0.562,-0.2502636844309389,=,-8.5269,IC50_energy_proxy,298.15,1,1,0,1,1,0.562,0.562,,"{""IC50"":{""median_log10_uM"":-0.2502636844309389,""max_lower_bound_uM"":null}}",hit_to_lead,27,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL5738473,CHEMBL5729323,28805093,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5738473,active,False,,0.13595840334892273,0.28613901138305664,-0.11521817743778229,0.25057080388069153,0.06767631322145462,0.43631964921951294
98805bd0f5e1dfbc,,CHEMBL3613609,C#CCOC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1,CHEMBL2973,,active,IC50,=,0.016,-1.7958800173440752,=,-10.6355,IC50_energy_proxy,298.15,1,1,0,1,1,0.016,0.016,,"{""IC50"":{""median_log10_uM"":-1.7958800173440752,""max_lower_bound_uM"":null}}",hit_to_lead,35,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3615478,CHEMBL3611979,15710514,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3615478,active,False,,0.8579239845275879,0.8188015222549438,-0.9514073133468628,-1.9205305576324463,-1.4359688758850098,0.7796791195869446
bec0b7362235591e,,CHEMBL3689376,C#Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,CHEMBL2973,,active,IC50,=,0.0690999999999999,-1.1605219526258015,=,-9.7687,IC50_energy_proxy,298.15,1,1,0,1,1,0.0691,0.0691,,"{""IC50"":{""median_log10_uM"":-1.1605219526258017,""max_lower_bound_uM"":null}}",hit_to_lead,25,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3705637,CHEMBL3639066,17616202,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3705637,active,False,,0.7555227279663086,0.7537415027618408,-0.6694841384887695,-0.7951089143753052,-0.7322965264320374,0.7519603371620178
6d82d00332c6fb4a,,CHEMBL3689416,C#Cc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1,CHEMBL2973,,active,IC50,=,0.111,-0.9546770212133424,=,-9.4879,IC50_energy_proxy,298.15,1,1,0,1,1,0.111,0.111,,"{""IC50"":{""median_log10_uM"":-0.9546770212133425,""max_lower_bound_uM"":null}}",hit_to_lead,25,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3705637,CHEMBL3639066,17616244,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3705637,active,False,,0.762018620967865,0.7577269077301025,-0.5130563974380493,-0.8298528790473938,-0.671454668045044,0.7534352540969849
0b69ccab791f7f42,,CHEMBL3689417,C#Cc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,CHEMBL2973,,active,IC50,=,0.0530999999999999,-1.274905478918531,=,-9.9248,IC50_energy_proxy,298.15,1,1,0,1,1,0.0531,0.0531,,"{""IC50"":{""median_log10_uM"":-1.274905478918531,""max_lower_bound_uM"":null}}",hit_to_lead,25,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3705637,CHEMBL3639066,17616245,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3705637,active,False,,0.7911648154258728,0.7833713889122009,-0.628383994102478,-1.0268912315368652,-0.8276376128196716,0.775577962398529
41a9a77aa15ef20a,,CHEMBL3689495,C#Cc1ccc(CN2CC[C@@H](Nc3cccc4cnccc34)C2)cc1,CHEMBL2973,,active,IC50,=,0.0871,-1.0599818449923368,=,-9.6316,IC50_energy_proxy,298.15,1,1,0,1,1,0.0871,0.0871,,"{""IC50"":{""median_log10_uM"":-1.0599818449923368,""max_lower_bound_uM"":null}}",hit_to_lead,25,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3705637,CHEMBL3639066,17616323,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3705637,active,False,,0.6785488724708557,0.6711628437042236,-0.682937502861023,-0.39088302850723267,-0.5369102954864502,0.6637768745422363
ad363df4d06cb834,,CHEMBL3689389,C#Cc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,CHEMBL2973,,active,IC50,=,0.057,-1.2441251443275083,=,-9.8828,IC50_energy_proxy,298.15,1,1,0,1,1,0.057,0.057,,"{""IC50"":{""median_log10_uM"":-1.2441251443275085,""max_lower_bound_uM"":null}}",hit_to_lead,25,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3705637,CHEMBL3639066,17616215,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3705637,active,False,,0.7256379127502441,0.7321170568466187,-0.5988470315933228,-0.41634562611579895,-0.5075963139533997,0.7385961413383484
69443cc13084dc94,CUDC-101,CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,CHEMBL2973,,measured_inactive_or_weak,Kd,>,30.0,1.4771212547196624,>,-6.1703,Kd_derived_estimate,298.15,1,0,1,1,1,,,30.0,"{""Kd"":{""median_log10_uM"":null,""max_lower_bound_uM"":30.0}}",hit_discovery,32,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3991871,CHEMBL3991601,17936025,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991871,measured_inactive_or_weak,False,,0.11290907859802246,0.12157916277647018,0.1266745924949646,0.21282625198364258,0.1697504222393036,0.1302492469549179
ca4b4203a06d4d48,ERLOTINIB,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL2973,,measured_inactive_or_weak,Kd,>,30.0,1.4771212547196624,>,-6.1703,Kd_derived_estimate,298.15,1,0,1,1,1,,,30.0,"{""Kd"":{""median_log10_uM"":null,""max_lower_bound_uM"":30.0}}",hit_discovery,29,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3991871,CHEMBL3991601,17936143,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991871,measured_inactive_or_weak,False,,0.13910885155200958,0.16659164428710938,0.42314136028289795,0.5449736714363098,0.4840575158596039,0.19407445192337036
cceab5dea667344d,ICOTINIB,CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,CHEMBL2973,,measured_inactive_or_weak,Kd,>,30.0,1.4771212547196624,>,-6.1703,Kd_derived_estimate,298.15,1,0,1,1,1,,,30.0,"{""Kd"":{""median_log10_uM"":null,""max_lower_bound_uM"":30.0}}",hit_discovery,29,True,not_evaluated,median_of_assay_endpoint_log_medians; bounds_separate,CHEMBL3991871,CHEMBL3991601,17936183,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991871,measured_inactive_or_weak,False,,0.1392359733581543,0.11486561596393585,-0.02009163610637188,-0.16083163022994995,-0.09046163409948349,0.09049525856971741
