Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL605,,CCN(CC)CCNC(=O)c1ccc(cc1)N.Cl,PROCAINAMIDE HYDROCHLORIDE,271.79,8.7,11.9,-0.3,1,1.7
CHEMBL1379811,,COCCNC(=O)CN1C2CCC1CC(C2)(c3cccnc3)O,,319.4,7.6,,0.7,1,38.7
CHEMBL275006,,CC1=NN=C(c2cc3c(cc2C1)OCO3)c4ccc(cc4)N,GYKI-52466,293.32,8.5,,1.7,2,10.5
CHEMBL274099,,CC1C2Cc3ccc(cc3C1(CCN2CC=C)C)O,,257.37,8.9,10.4,1.5,1,44.8
CHEMBL12658,,COc1ccc(cc1)c2coc3cc(ccc3c2=O)OC,,282.29,,,3.3,2,5.5
CHEMBL16687,,c1cc(oc1)c2nc3c4cc(ccc4nc(n3n2)N)Cl,CGS-15943,285.69,7.2,,2.7,4,1
CHEMBL597,,Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(c3)O,PHENTOLAMINE,281.35,7.6,10,2.1,2,7.9
CHEMBL18785,,COc1ccc2c(c1)c(c[nH]2)C3=CCNCC3,RU-24969,228.29,10.8,,-0.1,2,0.2
CHEMBL19633,,COc1ccc(cc1OC)Cc2cnc(nc2N)N,DIAVERIDINE,260.29,7,,0.8,2,2.2
CHEMBL20734,,CC1C(CCN1Cc2ccccc2)NC(=O)c3cc(c(cc3OC)NC)Cl,NEMONAPRIDE,387.9,7.7,9.3,3,2,0.3
CHEMBL22077,,CCN(CC)CCNc1ccc(c2c1c(=O)c3ccccc3s2)CO,HYCANTHONE,356.48,8.5,,2.5,2,0.1
CHEMBL715,,Cc1cc2c(s1)Nc3ccccc3N=C2N4CCN(CC4)C,OLANZAPINE,312.43,7.7,,2.1,2,0.8
CHEMBL31836,,c1ccc2c(c1)OCC(O2)CN3CCCCC3,PIPEROXAN,233.31,8.4,,1.5,1,37.6
CHEMBL34440,,CC(c1cc2cccnc2s1)N(C(=O)N)O,,237.28,2.8,9.6,1.2,2,71.2
CHEMBL839,,CC(C)(C)NCC(COc1cccc2c1CCC(=O)N2)O,CARTEOLOL,292.37,9.3,,-0.4,1,8.7
CHEMBL296566,,c1ccc(cc1)c2c([n+]3cccc(c3s2)[N+](=O)[O-])[O-],,272.28,,6,1,3,1.8
CHEMBL304902,,CN1CCN(CC1)C2=Nc3ccccc3Sc4c2cc(cc4)Cl,CLOTHIAPINE,343.87,7.7,,3.5,2,9.5
CHEMBL1043,,c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N,DAPSONE,248.3,2.4,,0.7,2,37.5
CHEMBL120661,,Cc1c(c(=O)oc2c1ccc(c2)OCCCN3CCN(CC3)c4ccccc4)C,,392.49,7.6,,3.4,2,0.2
CHEMBL351231,,C[C@@H]1CCCN1CCc2cc3cc(ccc3o2)c4ccc(cc4)C#N,,330.42,9.6,,3,3,0.2
CHEMBL161781,,CC1CCCN1CCc2cc3cc(ccc3o2)c4ccc(cc4)C#N,,330.42,9.6,,3,3,1.8
CHEMBL181529,,COc1cc(ccc1O)/C=C/c2cc(on2)/C=C/c3ccc(c(c3)OC)O,,365.38,,8,3.2,3,0.5
CHEMBL183513,,COc1c(cc2c(c1O)c(=O)cc(o2)c3ccccc3)O,OROXYLIN A,284.26,,4.7,1.6,2,0.7
CHEMBL439338,,CC(C)(C)c1nc(cc(n1)N2CCN(CC2)CCCSc3nccc(n3)O)C(F)(F)F,,456.53,6.6,7.8,3,1,5.4
CHEMBL1407,,CN1CCc2cc(c(cc2C1Cc3ccc(c(c3)OC)OC)OC)OC,LAUDANOSINE,357.44,8.2,,2,2,4.6
CHEMBL1409,,COCCCC/C(=N\OCCN)/c1ccc(cc1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O,FLUVOXAMINE MALEATE,434.41,9.1,,1.6,1,19.5
CHEMBL218790,,c1cc(ccc1/C=C/C(=O)N2CCC[C@H]2CN3CCCC3)C(F)(F)F,,352.39,8.8,,2,1,3
CHEMBL386630,,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,TESTOSTERONE,288.42,,,3.4,0,20.8
CHEMBL184,,c1nc2c(=O)[nH]c(nc2n1COCCO)N,ACYCLOVIR,225.2,3.1,9.1,-0.2,1,81.9
CHEMBL237500,,CC#CCn1c2c(nc1N3CCC[C@H](C3)N)n(c(=O)n(c2=O)Cc4nc(c5ccccc5n4)C)C,LINAGLIPTIN,472.54,8.8,,0.5,3,1.2
CHEMBL241098,,COc1cccc(c1)C2c3c(c4ccccc4[nH]3)CCN2,,278.35,6.7,,2.9,3,2
CHEMBL251940,,c1ccc2c(c1)N(c3cc(ccc3S2)C#N)CCCN4CCC(CC4)O,PERICIAZINE,365.49,9,,1.8,2,0.3
CHEMBL1542,,Cn1cnc(c1Sc2c3c([nH]cn3)ncn2)[N+](=O)[O-],AZATHIOPRINE,277.26,,8.3,2.6,3,73.3
CHEMBL1559,,c1cc(c(cc1Cl)Cl)COC(Cn2ccnc2)c3ccc(cc3Cl)Cl.[N+](=O)(O)[O-],MICONAZOLE NITRATE,479.14,6.3,,4,3,0.7
CHEMBL453291,,COc1cc2c(cc1O)C(NCC2)Cc3ccc(cc3)O,COCLAURINE,285.34,9,10,0.7,2,1.5
CHEMBL1564,,CN1CCC(CC1)OC(c2ccccc2)c3ccccc3.Cl,DIPHENYLPYRALINE HYDROCHLORIDE,317.85,9.5,,2.1,2,32.7
CHEMBL507026,,CC(=O)Nc1c-2sscc2n(c1=O)C,THIOLUTIN,228.29,,8.2,1.2,0,11.4
CHEMBL556001,,COc1cccc(c1OCCNCC2COc3ccccc3O2)OC.Cl,"2- (2,6-DIMETHOXYPHENOXYETHYL)AMINOMETHYL-1,4-BENZODIOXANE HYDROCHLORIDE (WB 4101)",381.85,7.3,,2.6,2,2.2
CHEMBL554891,,c1ccc(cc1)C2CN3CCSC3=N2.Cl,TETRAMISOLE HYDROCHLORIDE,240.75,8,,1.2,1,34
CHEMBL555654,,CCN(CC)CCOC(=O)C(c1ccccc1)c2ccccc2.Cl,ADIPHENINE HYDROCHLORIDE,347.88,8.5,,2.6,2,30.9
CHEMBL1717,,c1ccc(c(c1)CN2CCc3c(ccs3)C2)Cl.Cl,TICLOPIDINE HYDROCHLORIDE,300.25,7.4,,3,2,25.4
